IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
1618,0.23735,0.2301,0.243,0.2367,0.2279,0.2462,70.5627,1.0,0,0.0,1278000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,4974100000.0,12,16383,,22.783,22.276,21.431,20.211,19.899,19.734,19.59,19.538,19.489,19.791,20.236,20.365,21.135,20.974,,22.403,22.219,21.398,20.26,19.895,19.74,19.666,19.655,19.642,19.512,20.165,20.497,20.917,21.473,23.6,9.1,9.4335,-0.63768,,,,A2744clu,3.6071047,-30.4037524,60.21537554246763,-14.927400000003388,62.03804254230231,pagul21_photoz_f160w_radius,1.6148350014100767,False
768,0.3816,0.3318,0.3925,0.3569,0.3326,0.3879,159.709,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,350.574,11,16382,,,25.218,23.244,21.551,20.753,20.328,20.068,19.956,19.843,18.614,19.358,19.631,20.693,20.974,,25.458,24.431,23.316,21.648,20.762,20.368,20.062,19.883,19.727,19.327,19.788,20.067,20.438,20.106,19.292,9.48098,9.94151,-2.53931,,,,A2744clu,3.5715054,-30.3904341,-50.322648840428585,33.018479999989836,60.18794736346155,pagul21_photoz_f160w_radius,1.6008636621153847,False
818,0.39664,0.3869,0.4091,0.3911,0.3402,0.4068,164.979,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,394.624,12,16383,,27.09,25.992,23.505,21.698,20.864,20.422,20.155,19.995,19.885,18.708,19.428,19.694,20.778,21.152,,25.611,24.587,23.444,21.786,20.858,20.425,20.153,19.971,19.813,19.408,19.819,20.093,20.451,20.211,19.342,9.50514,9.99882,-2.56631,,,,A2744clu,3.5947136,-30.3891133,21.740245022179423,37.77335999998428,43.58285189512969,pagul21_photoz_f160w_radius,1.0534639798376566,False
2391,0.36667,0.3411,0.3838,0.3622,0.3415,0.3845,154.707,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,296.534,12,16383,,26.285,25.446,23.515,21.704,20.857,20.434,20.135,20.002,19.894,18.66,19.366,19.634,20.697,21.281,,25.738,24.702,23.533,21.808,20.877,20.447,20.129,19.944,19.783,19.369,19.833,20.099,20.469,20.137,19.324,9.52889,9.98188,-3.20617,,,,A2744clu,3.6026556,-30.4169592,46.40064535726896,-62.47188000001245,77.81873604927672,pagul21_photoz_f160w_radius,2.2003511183092233,False
806,0.36476,0.357,0.3706,0.3638,0.3537,0.3727,311.533,32.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,809.651,12,16383,,22.575,22.369,22.053,21.214,20.768,20.488,20.226,20.098,19.993,18.603,19.182,19.216,20.263,18.606,,22.735,22.476,22.152,21.244,20.732,20.444,20.218,20.113,20.039,19.815,20.294,20.091,20.767,20.328,19.099,9.0,9.94456,0.26654,,,,A2744clu,3.5809562,-30.3907867,-20.97733135278413,31.749119999992104,38.053318534109465,pagul21_photoz_f160w_radius,0.9150852011369816,False
279,0.2238,0.2167,0.2331,0.2252,0.2105,0.2408,61.7688,19.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,63.8358,10,16191,,25.992,25.625,23.719,21.924,21.046,20.574,,,20.031,18.911,19.642,19.918,21.01,21.872,,26.419,25.194,23.804,21.935,21.039,20.391,19.94,19.705,19.521,19.127,19.793,19.785,20.236,19.553,18.901,9.5655,9.86451,-3.72221,,,,A2744clu,3.5653402,-30.3829473,-69.46597547677872,59.970959999985496,91.77166116105933,pagul21_photoz_f160w_radius,2.7310041220353103,False
2309,0.38927,0.3793,0.3994,0.3852,0.3583,0.399,180.909,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,341.42,12,16383,,26.045,25.375,23.604,21.866,21.029,20.585,20.31,20.19,20.078,18.75,19.466,19.733,20.826,21.604,,25.768,24.745,23.601,21.944,21.016,20.582,20.311,20.128,19.97,19.565,19.977,20.25,20.608,20.368,19.499,9.51868,9.85749,-3.0443,,,,A2744clu,3.6043103,-30.4145685,51.538591017615644,-53.86536000001456,74.5500058485056,pagul21_photoz_f160w_radius,2.1744519449501865,False
1155,0.39144,0.3795,0.4036,0.3857,0.3468,0.4032,129.063,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,336.748,12,16383,,25.799,25.315,23.662,21.892,21.054,20.602,20.323,20.2,20.092,18.911,19.628,19.914,21.345,21.89,,25.783,24.76,23.616,21.959,21.031,20.597,20.325,20.143,19.985,19.58,19.992,20.265,20.623,20.383,19.514,9.52793,9.89441,-3.24089,,,,A2744clu,3.5788785,-30.3970986,-27.428718128938492,9.02627999999197,28.8757391045669,pagul21_photoz_f160w_radius,0.6513383868188958,False
408,0.38639,0.3775,0.3944,0.3842,0.3701,0.3963,238.289,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,289.638,12,16383,,29.006,26.056,23.625,21.941,21.119,20.688,20.418,20.296,20.193,18.802,19.541,19.823,21.046,21.42,,25.855,24.83,23.696,22.034,21.121,20.707,20.417,20.236,20.079,19.676,20.102,20.379,20.741,20.471,19.618,9.50463,9.80357,-2.79901,,,,A2744clu,3.5881465,-30.3850015,1.3489940727253404,52.575839999985874,52.593143438212195,pagul21_photoz_f160w_radius,1.49089453127374,False
129,0.3814,0.3307,0.391,0.3505,0.3299,0.3815,153.583,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,278.402,12,16383,,26.342,25.297,23.31,21.768,21.038,20.641,20.403,20.295,20.208,19.077,19.837,20.127,21.426,21.454,,25.484,24.47,23.432,21.838,21.031,20.688,20.398,20.229,20.082,19.703,20.179,20.467,20.844,20.48,19.684,9.41904,9.67731,-2.1701,,,,A2744clu,3.5953945,-30.380394,23.854481560602938,69.16283999999422,73.16101917954633,pagul21_photoz_f160w_radius,2.20067938931821,False
731,0.38257,0.3766,0.3901,0.3807,0.366,0.3917,213.892,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,277.341,12,16383,,26.093,25.33,23.804,22.034,21.186,20.745,20.461,20.327,20.225,18.791,19.536,19.81,21.019,21.403,,25.902,24.878,23.743,22.081,21.168,20.754,20.464,20.284,20.126,19.723,20.149,20.426,20.788,20.518,19.665,9.52246,9.82201,-3.0998,,,,A2744clu,3.5903397,-30.3909351,8.159015479790785,31.21487999999033,32.263574926118494,pagul21_photoz_f160w_radius,0.8216762475372833,False
2347,0.40694,0.3953,0.4166,0.3937,0.3346,0.4181,171.013,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,346.848,12,16383,,27.581,25.733,23.647,21.857,21.086,20.7,20.451,20.336,20.24,19.067,19.781,20.045,21.247,21.878,,25.624,24.61,23.529,21.953,21.091,20.7,20.453,20.279,20.13,19.747,20.154,20.439,20.798,20.558,19.689,9.43422,9.7966,-2.31699,,,,A2744clu,3.6013589,-30.4153727,42.374311799663346,-56.76048000000549,70.83314471577633,pagul21_photoz_f160w_radius,2.1163900738592094,False
1439,0.41163,0.3801,0.4315,0.4087,0.3828,0.4368,191.145,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,314.004,12,16383,,,25.79,23.905,22.137,21.263,20.81,20.541,20.412,20.304,18.882,19.602,19.892,21.027,21.415,,26.039,25.012,23.855,22.208,21.245,20.807,20.541,20.355,20.195,19.787,20.172,20.434,20.785,20.606,19.707,9.51536,9.87793,-2.99706,,,,A2744clu,3.6052555,-30.4007977,54.47349537378974,-4.290480000003072,54.64219904861734,pagul21_photoz_f160w_radius,1.586892384953911,False
324,0.28762,0.2769,0.2962,0.2893,0.2735,0.3098,167.771,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,159.664,11,16382,,,25.617,23.273,21.744,21.06,20.735,20.518,20.416,20.334,19.256,19.982,20.262,21.622,21.677,,25.438,24.459,23.433,21.853,21.138,20.791,20.501,20.34,20.197,19.838,20.426,20.689,21.093,20.524,19.933,9.35315,9.57728,-1.81096,,,,A2744clu,3.5837175,-30.3846665,-12.403324371509536,53.78183999998498,55.19355731649181,pagul21_photoz_f160w_radius,1.6608684938830598,False
977,0.38257,0.3714,0.3933,0.3734,0.348,0.3927,151.287,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,223.94,12,16383,,26.19,25.167,23.892,22.17,21.336,20.898,20.625,20.501,20.4,19.119,19.842,20.135,21.423,21.89,,26.041,25.014,23.89,22.224,21.326,20.926,20.623,20.444,20.287,19.885,20.328,20.607,20.973,20.672,19.838,9.49737,9.7679,-2.79992,,,,A2744clu,3.5813771,-30.3939275,-19.67041086662976,20.44223999998991,28.369177638402096,pagul21_photoz_f160w_radius,0.7612295046134027,False
1966,0.40019,0.3871,0.4137,0.4007,0.3844,0.4184,138.23,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,228.171,12,16383,,27.207,26.802,24.268,22.351,21.475,20.986,20.706,20.571,20.466,19.26,19.961,20.237,21.186,21.918,,26.396,25.364,24.163,22.45,21.46,20.992,20.706,20.515,20.351,19.93,20.33,20.587,20.939,20.73,19.847,9.55041,9.8942,-3.46558,,,,A2744clu,3.5888203,-30.4107196,3.441184672798651,-40.00932000001001,40.1570347363386,pagul21_photoz_f160w_radius,1.1583130745446202,False
409,0.38169,0.366,0.3944,0.3815,0.3543,0.4086,198.556,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,195.9,12,16383,,26.534,26.026,24.114,22.34,21.478,21.021,20.731,20.595,20.478,19.035,19.737,19.998,21.019,20.859,,26.379,25.346,24.159,22.439,21.48,21.033,20.728,20.541,20.378,19.961,20.39,20.654,21.016,20.745,19.893,9.53444,9.80018,-3.42443,,,,A2744clu,3.5925502,-30.3853072,15.022754454949876,51.4753199999916,53.62267916204161,pagul21_photoz_f160w_radius,1.625470888734721,False
