IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,0.0,0.0,0.026,0.0277,,0.0736,14.2477,15.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00277865,10,4092,,,,26.598,26.432,25.557,25.125,24.889,24.858,24.892,24.821,26.019,27.075,,,,29.162,28.361,27.062,26.158,25.627,25.18,25.065,25.012,24.94,25.048,25.78,26.18,26.007,24.82,30.112,9.54834,5.79328,-7.65219,,,,A2744clu,3.4870625,-30.4031337
2,0.0,0.0,0.0757,0.0916,0.022,0.5194,243.873,33.0,0,0.0,,99.0,0.33,244.582,33.0,0.0,7.75828e-54,,1000000000.0,0.0152447,8,3900,,,,28.362,27.534,28.183,,,,22.72,,,,,,,27.896,28.088,27.935,28.009,27.946,28.259,28.308,28.34,28.363,28.636,29.025,29.675,29.689,28.404,29.457,8.74591,4.46012,-4.60282,,,,A2744clu,3.4890205,-30.4032425
3,3.8557,3.45,3.9724,3.5947,0.4458,3.8597,47.9275,33.0,1,0.05,,99.0,0.41,52.0799,1.0,0.0,4.90892e-12,,1000000000.0,186.79,10,4092,,,,27.161,25.929,25.333,25.988,24.832,25.758,25.819,26.395,23.083,23.458,,,,,,27.305,25.86,25.761,25.877,25.984,26.056,26.136,25.826,26.014,25.992,26.042,26.141,27.299,8.81801,7.265,-1.92869,,,,A2744clu,3.4600834,-30.3605535
4,3.2385,2.1074,3.5687,1.6389,0.305,3.2394,7.04435,33.0,1,0.2,,99.0,2.48,5.08425,33.0,0.2,0.0786988,,1000000000.0,25.275,10,4092,,,,28.415,27.497,27.963,27.397,27.224,27.462,27.282,26.035,26.607,28.322,,,,28.786,28.125,27.918,27.831,27.801,27.451,27.259,27.239,27.25,27.104,26.937,26.935,27.228,27.438,27.007,8.79908,7.97119,-1.18282,,,,A2744clu,3.4624074,-30.3667933
5,1.7383,1.5795,1.8013,1.7137,1.609,1.8121,6.2626,33.0,2,0.2,,99.0,-99.9,1000000000.0,,,,,1000000000.0,931.493,10,4092,,,,24.102,24.058,24.044,23.613,23.214,23.275,23.425,23.423,22.772,22.914,,,,25.137,24.335,24.098,24.072,23.969,23.602,23.324,23.323,23.429,23.284,23.11,23.087,23.35,23.601,22.984,8.7042,9.55375,0.6045,,,,A2744clu,3.4648538,-30.3612988
7,0.54083,0.512,0.6053,0.5573,0.5193,0.5981,81.2787,1.0,0,0.0,904800000.0,99.0,0.0,88.786,5.0,0.0,5.2525199999999995e-20,,1000000000.0,5045240000.0,10,4092,,,,23.094,22.191,21.571,21.608,21.056,21.533,21.35,21.7,20.979,21.101,,,,23.181,23.131,23.066,22.229,21.619,21.492,21.482,21.443,21.412,21.439,21.71,22.067,22.432,22.99,24.997,8.9285,9.42817,-0.05206,,,,A2744clu,3.4679998,-30.3614375
8,7.7572,6.7748,8.0,7.2106,6.4151,7.7625,155.683,9.0,0,0.0,,99.0,7.18,155.675,9.0,0.0,1.5689000000000001e-34,,1000000000.0,791.334,10,4092,,,,22.226,21.469,21.05,19.49,19.665,18.962,18.667,,23.777,24.172,,,,,,,,36.115,31.023,30.657,30.494,30.168,28.297,24.649,23.796,23.298,22.77,23.231,8.98918,10.37176,0.70213,,,,A2744clu,3.4638633,-30.3642792
9,4.9252,4.7752,5.5558,5.8404,4.9805,6.8365,119.444,18.0,0,0.0,,99.0,6.65,118.692,29.0,0.4,1.68405e-26,,1000000000.0,16884.1,10,4092,,,,23.317,21.603,19.658,18.632,18.255,17.997,17.855,22.462,20.097,20.473,,,,,,,29.047,24.501,23.269,23.164,23.131,23.117,22.422,20.692,20.329,20.002,19.643,20.201,8.98026,11.56212,1.91363,,,,A2744clu,3.4687961,-30.361564
10,1.4026,1.1341,1.5705,6.5402,5.0946,7.4908,30.5296,15.0,0,0.0,,99.0,1.97,29.2743,33.0,0.0,4.39713e-07,,1000000000.0,396.08,10,4092,,,,26.233,27.677,26.214,26.363,25.975,25.938,25.685,,24.63,24.977,,,,,,,,30.915,28.13,27.94,27.852,27.792,27.275,25.006,24.439,24.063,23.563,24.091,8.77925,5.36336,-3.79454,,,,A2744clu,3.4626657,-30.3660903
11,0.43456,0.4221,0.4457,0.4337,0.3982,0.4597,0.596083,11.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,330.87,10,4092,,,,22.259,20.314,19.184,18.647,18.314,18.162,18.034,17.795,18.248,18.616,,,,23.684,23.556,22.213,20.311,19.184,18.64,18.314,18.126,17.996,17.81,18.337,18.62,18.928,19.376,18.992,9.62854,11.1376,-3.45123,,,,A2744clu,3.4622689,-30.3614318
