main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[ORN2011] 003.605000-30.444277,3.605,-30.444277777777778,G,0.2605936137326043,D,2011ApJ...728...27O
[ORN2011] 003.614750-30.445276,3.61475,-30.445275,G,0.3176781236225967,D,2006A&A...449..461B
[BML2002]   18,3.6183333333333336,-30.44813611111111,G,0.299,D,2017A&A...606A.122F
[KIS2018] A2744 46.3,3.57753,-30.40871,LeG,2.26,D,2023ApJ...955L..18L
[MAC2016] A2744cl    628,3.574174,-30.406519,G,2.4595,E,2016A&A...590A..30M
[MAC2016] A2744cl    634,3.573184,-30.406557,G,2.078,E,2016A&A...590A..30M
[MAC2016] A2744cl    553,3.571448,-30.407387,G,1.534,E,2016A&A...590A..30M
[LFL2017] A2744 z6   3351,3.5737,-30.405655,G,5.82,E,2017ApJ...835..113L
[MAC2016] A2744cl    637,3.572232,-30.406858,G,2.555,E,2016A&A...590A..30M
[LBL2018] A2744 cluster 25,3.5765096,-30.4079137,G?,5.432,E,2018ApJ...862..156L
[LBL2018] A2744 cluster 30,3.571781,-30.406481,G,5.554,E,2016A&A...590A..30M
[ORN2011] 003.533292-30.435833,3.533291666666666,-30.43583333333334,G,0.5622956665574289,C,2011ApJ...728...27O
[MAC2016] A2744cl  21089,3.572539,-30.403954,G,5.301,E,2016A&A...590A..30M
[ORN2011] 003.629167-30.446278,3.6291666666666664,-30.44627777777778,G,0.4989952082116756,D,2011ApJ...728...27O
[BML2002]  219,3.531874999999999,-30.41758333333333,G,0.2999741908116981,C,2011ApJ...728...27O
[ORN2011] 003.532833-30.417167,3.532833333333333,-30.41716666666667,G,0.2706539068437806,C,2011ApJ...728...27O
[ORN2011] 003.558208-30.436889,3.5582083333333334,-30.43688888888889,G,0.413179173440047,C,2011ApJ...728...27O
[BML2002]  147,3.5514166666666664,-30.426972222222215,G,0.3029796033094335,C,2011ApJ...728...27O
[BML2002]  188,3.6281875,-30.423783333333333,G,0.3,E,2017A&A...606A.122F
UNCOVER DR1  2476,3.610205,-30.421000999999997,AGN,4.56,E,2024ApJ...969L..18A
[BGS2006]  94,3.6128333333333336,-30.425527777777777,GiC,0.316418900704967,C,2011ApJ...728...27O
[MAC2016] A2744cl    226,3.583747,-30.41271,G,2.625,E,2016A&A...590A..30M
[MAC2016] A2744cl    214,3.583545,-30.413153,G,0.9485,E,2016A&A...590A..30M
[MAC2016] A2744cl    245,3.57857,-30.412382,G,0.144,E,2016A&A...590A..30M
[ARK2015] 860,3.5782841,-30.410941,G,5.353,E,2016A&A...590A..30M
[WHH2015] GLASS 00281,3.579458333333333,-30.40995277777778,LeI,1.27,D,2015ApJ...811...29W
UNCOVER DR1  6430,3.550838,-30.406598,AGN,5.05,D,2024ApJ...964...39G
[BML2002]  271,3.551175,-30.415391666666668,G,0.31,E,2017A&A...606A.122F
SN 1988U,3.5999999999999996,-30.428333333333335,SN*,0.31,D,2003ApJ...594....1T
[BGS2006]  82,3.601250000000001,-30.43016666666667,GiC,0.0737087523566131,D,2006A&A...449..461B
[BAG2023] 32680,3.592099,-30.413109,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl    227,3.591753,-30.412804,G,0.42,D,2017ApJ...835..254M
[MAC2016] A2744cl    172,3.591539,-30.413721,G,2.333,E,2016A&A...590A..30M
[MAC2016] A2744cl    183,3.592549,-30.41342,G,2.573,E,2016A&A...590A..30M
[ARK2015] 491,3.5929474,-30.41333,LeG,5.6774,E,2016A&A...590A..30M
[BML2002]  206,3.5838,-30.421930555555555,G,0.31,E,2017A&A...606A.122F
[MPC2023] GLASS 160281,3.590149999999999,-30.42593000000001,LeG,4.715,D,2023A&A...672A.155M
[MAC2016] A2744cl    285,3.580369,-30.411913,G,0.39,D,2017ApJ...835..254M
[MAC2016] A2744cl    215,3.580266,-30.41288,G,4.07,E,2016A&A...590A..30M
[MAC2016] A2744cl    311,3.581241,-30.411579,G,1.0972,D,2018MNRAS.473..663M
[BGS2006]   9,3.557583333333334,-30.420888888888893,GiC,0.3084333762659232,C,2011ApJ...728...27O
[BML2002]  324,3.605886,-30.409735,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl   2567,3.603904,-30.408737,G,5.1,E,2016A&A...590A..30M
[MAC2016] A2744cl    481,3.605417,-30.408741,G,0.67,D,2017ApJ...835..254M
[MAC2016] A2744cl    462,3.604411,-30.409004,G,0.577,E,2016A&A...590A..30M
[MAC2016] A2744cl    468,3.599977,-30.409048,G,0.24,E,2016A&A...590A..30M
[MAC2016] A2744cl  20579,3.603737,-30.409586,G,3.7982,E,2016A&A...590A..30M
[BIO2017] A2744I-4251243355,3.604751,-30.409292,LeG,6.0205,E,2016A&A...590A..30M
[ORN2011] 003.590792-30.457417,3.590791666666666,-30.45741666666667,G,0.2941568329914424,C,2011ApJ...728...27O
[BAG2023] 42195,3.578349,-30.387098,G,0.3,D,2017ApJ...835..254M
[MAC2016] A2744cl   1973,3.579471,-30.386885,G,3.83,E,2016A&A...590A..30M
[MAC2016] A2744cl   1970,3.580077,-30.387064,G,1.0472,D,2018MNRAS.473..663M
[MAC2016] A2744cl   1955,3.580866,-30.386972,G,1.9625,E,2016A&A...590A..30M
[MAC2016] A2744cl  22902,3.600138,-30.38352,G,7.05,E,2016A&A...590A..30M
[MAC2016] A2744cl   2275,3.601843,-30.381859,G,0.42,D,2017ApJ...835..254M
[MAC2016] A2744cl   2180,3.602539,-30.383295,G,1.7545,E,2016A&A...590A..30M
[MAC2016] A2744cl   2237,3.603165,-30.382608,G,1.9145,E,2016A&A...590A..30M
[MAC2016] A2744cl   2258,3.602221,-30.382383,G,0.974,E,2016A&A...590A..30M
[MAC2016] A2744cl  23081,3.60018,-30.381884,G,0.865,E,2016A&A...590A..30M
[MAC2016] A2744cl   2200,3.603163,-30.383011,G,0.39,D,2017ApJ...835..254M
[MAC2016] A2744cl   2193,3.601707,-30.383419,G,3.0264,E,2016A&A...590A..30M
[MAC2016] A2744cl  22895,3.603937,-30.383604,G,4.985,E,2016A&A...590A..30M
[MAC2016] A2744cl   2285,3.602602,-30.381866,G,0.861,E,2016A&A...590A..30M
[IKO2015] HFF1C-Y8,3.604005,-30.382309,LeG,7.9693,E,2016A&A...590A..30M
[ARK2015] 4779,3.603418,-30.383218,LeG,5.8647,E,2016A&A...590A..30M
[MAC2016] A2744cl   1959,3.596089,-30.387117,EmG,3.47645,D,2021A&A...646A..83R
[MAC2016] A2744cl  22837,3.596261,-30.384445,EmG,5.76819,D,2021A&A...646A..83R
[MAC2016] A2744cl   2023,3.597017,-30.386051,G,0.2448,E,2016A&A...590A..30M
[MAC2016] A2744cl   2073,3.597085,-30.385548,G,1.7634,E,2016A&A...590A..30M
[MAC2016] A2744cl   1980,3.598553,-30.386688,G,2.5073,E,2016A&A...590A..30M
[MAC2016] A2744cl   2089,3.596706,-30.384945,G,1.5386,E,2016A&A...590A..30M
[BAG2023] A2744 1.3c,3.5864589999999996,-30.409871000000003,LeI,1.688,D,2023A&A...670A..60B
[MAC2016] A2744cl  20324,3.586411,-30.412361,G,2.048,E,2016A&A...590A..30M
