IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
12,0.0,0.0,0.0232,0.0291,,0.0826,2.61525,27.0,0,0.0,,99.0,0.84,9.10709,33.0,0.0,0.0105298,,1000000000.0,407.56,9,16348,,,,18.876,17.878,14.836,,36.528,13.952,38.89,14.218,15.373,15.807,6.998,,,15.127,15.015,14.257,14.037,13.967,13.926,13.968,13.977,13.97,14.196,14.86,15.352,15.2,14.249,18.608,8.79053,9.30613,-0.37209,,,,A370clu,39.9776123,-1.5426144,LEDA  175370,39.97751187596,-1.54266799553,rG,0.045,D,2012ApJS..202....2W,0.40967556633434316,SIMBAD,False
14,7.3606,0.0,8.0,3.855,1.2008,6.6508,4.49682e-23,8.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,635.201,6,16124,,,,41.046,37.904,35.526,50.827,52.165,26.412,,,,,,,,,,33.771,31.616,30.688,28.566,27.512,26.412,25.702,23.782,22.534,22.148,21.955,21.812,23.457,8.99548,9.04357,-0.90448,,,,A370clu,39.973343,-1.5378479,,,,,,,,,,False
18,7.3588,0.0,8.0,3.855,1.2008,6.6508,1.02892e-22,8.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1696.48,6,16124,,,,41.566,42.147,35.691,45.223,48.89,25.346,,,,,,,,,,32.704,30.55,29.621,27.499,26.445,25.346,24.635,22.716,21.467,21.081,20.888,20.745,22.39,8.99548,9.46997,-0.47809,,,,A370clu,39.9691612,-1.5382232,,,,,,,,,,False
22,0.7331,0.5692,1.2085,3.0728,1.1923,5.8968,2.22475,27.0,0,0.0,,99.0,4.69,0.644271,33.0,0.25,0.7246,,1000000000.0,588.506,10,16380,,,,39.703,37.696,32.465,46.391,49.124,24.629,47.562,,23.17,23.848,21.528,,,,34.196,25.176,24.636,24.642,24.721,24.658,24.486,24.182,23.685,23.536,23.545,23.579,23.697,24.634,8.95555,10.01871,0.47955,,,,A370clu,39.9703822,-1.5385995,,,,,,,,,,False
34,0.72432,0.5791,1.1717,2.8851,1.1342,5.7276,2.36207,1.0,0,0.0,904800000.0,99.0,4.69,0.65478,33.0,0.2,0.720803,,1000000000.0,34612300000.0,9,16348,,,,37.713,37.783,30.472,,47.14,23.79,46.222,,22.385,23.038,20.381,14.723,,30.725,28.178,25.064,24.513,24.434,24.378,24.154,23.775,23.359,22.903,22.719,22.729,22.708,22.808,24.624,8.93877,10.32532,0.85755,,,,A370clu,39.9709786,-1.5400282,,,,,,,,,,False
44,5.2397,4.7982,5.7513,5.4743,4.9173,6.3331,9.15035,23.0,0,0.0,,99.0,6.6,12.9493,22.0,0.0,0.00154206,,1000000000.0,1725.02,9,16376,,,,,36.038,24.975,44.063,47.04,24.681,45.834,25.558,22.537,23.137,,,,,,,28.109,25.388,24.859,24.823,24.834,24.863,24.526,23.166,22.912,22.689,22.51,23.372,8.93073,10.61351,1.1191,,,,A370clu,39.972423,-1.5419554,,,,,,,,,,False
57,5.3055,4.8311,6.052,5.7117,5.0351,6.8359,10.8469,16.0,0,0.0,,99.0,6.6,12.1913,16.0,0.0,0.0022526,,1000000000.0,922.122,9,16372,,,,38.889,,26.319,44.906,47.002,25.988,45.593,26.541,22.876,23.488,,,,,,,31.692,27.733,26.661,26.544,26.508,26.484,25.615,23.636,23.221,22.829,22.462,23.147,8.9369,10.13688,0.62782,,,,A370clu,39.9722193,-1.5430287,,,,,,,,,,False
62,7.3556,0.0,8.0,3.855,1.2008,6.6508,3.9127e-24,8.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,532.311,6,16124,,,,40.809,40.898,35.441,47.695,44.575,26.604,,,,,,,,,,33.963,31.808,30.88,28.758,27.703,26.604,25.894,23.974,22.725,22.34,22.147,22.004,23.648,8.99548,8.96678,-0.98152,,,,A370clu,39.9656887,-1.5436901,,,,,,,,,,False
63,0.47178,0.0,0.5885,0.3343,0.0939,0.6369,0.246817,33.0,1,0.4,,99.0,0.16,0.00919672,28.0,0.25,0.995412,,1000000000.0,3.04578,6,16124,,,,27.885,27.121,26.667,49.034,54.428,26.331,,,,,,,,28.413,28.18,27.919,27.123,26.662,26.442,26.237,26.143,26.074,25.877,26.402,26.197,26.88,26.37,25.201,9.03085,7.07066,-2.35311,,,,A370clu,39.9845758,-1.5430969,,,,,,,,,,False
69,0.8767,0.0,5.1561,3.1363,0.767,4.9903,0.427714,26.0,0,0.25,,99.0,0.28,0.375187,26.0,0.5,0.828951,,1000000000.0,156.773,6,16124,,,,30.61,29.778,28.358,46.099,47.946,27.513,,,,,,,,,,31.842,29.581,28.526,27.927,27.516,27.242,26.855,25.811,25.29,25.071,24.909,24.871,25.771,9.073,8.25312,-1.94306,,,,A370clu,39.9827803,-1.5439397,,,,,,,,,,False
