IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
12,5.3995,0.8279,8.0,6.0122,0.8448,7.4469,0.00228282,33.0,1,0.05,,99.0,5.95,1.37385e-08,33.0,0.05,1.0,,1000000000.0,22570300.0,7,16348,,,,18.876,17.878,14.836,,36.528,13.952,38.89,14.218,15.373,15.807,6.998,,,,,,19.382,15.026,13.845,13.912,13.953,14.0,14.216,14.023,14.007,14.162,14.171,14.931,8.75226,9.7666,0.91029,,,,A370clu,39.9776123,-1.5426144
14,7.3606,0.0,8.0,3.855,1.2008,6.6508,4.49682e-23,8.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,635.201,6,16124,,,,41.046,37.904,35.526,50.827,52.165,26.412,,,,,,,,,,33.771,31.616,30.688,28.566,27.512,26.412,25.702,23.782,22.534,22.148,21.955,21.812,23.457,8.99548,9.04357,-0.90448,,,,A370clu,39.973343,-1.5378479
18,7.3588,0.0,8.0,3.855,1.2008,6.6508,1.02892e-22,8.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1696.48,6,16124,,,,41.566,42.147,35.691,45.223,48.89,25.346,,,,,,,,,,32.704,30.55,29.621,27.499,26.445,25.346,24.635,22.716,21.467,21.081,20.888,20.745,22.39,8.99548,9.46997,-0.47809,,,,A370clu,39.9691612,-1.5382232
22,5.28,0.0,8.0,3.855,1.2008,6.6508,1.42264e-19,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,540.251,8,16380,,,,39.703,37.696,32.465,46.391,49.124,24.629,47.562,,23.17,23.848,21.528,,,,,26.655,24.395,24.217,24.393,24.535,24.629,24.727,24.585,24.725,24.86,24.929,25.03,26.354,8.99548,9.75656,-0.19158,,,,A370clu,39.9703822,-1.5385995
34,5.2784,0.0,8.0,3.855,1.2008,6.6508,3.15093e-19,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1170.65,7,16348,,,,37.713,37.783,30.472,,47.14,23.79,46.222,,22.385,23.038,20.381,14.723,,,,25.815,23.556,23.377,23.553,23.695,23.79,23.888,23.745,23.886,24.02,24.09,24.191,25.514,8.99548,10.09246,0.14419,,,,A370clu,39.9709786,-1.5400282
44,5.4076,3.7226,5.941,1.6567,0.2951,5.1923,0.37595,33.0,0,0.0,,99.0,1.41,0.272673,33.0,0.0,0.872549,,1000000000.0,96.9514,7,16376,,,,,36.038,24.975,44.063,47.04,24.681,45.834,25.558,22.537,23.137,,,,24.602,24.372,24.502,24.707,24.98,24.871,24.789,24.87,25.048,25.162,25.264,25.341,25.695,25.991,25.517,8.88235,8.49206,-1.05402,,,,A370clu,39.972423,-1.5419554
57,5.5416,0.0,6.0577,2.1187,0.3931,5.2592,0.257475,32.0,0,0.0,,99.0,1.41,0.0334679,33.0,0.0,0.983405,,1000000000.0,42.2364,7,16372,,,,38.889,,26.319,44.906,47.002,25.988,45.593,26.541,22.876,23.488,,,,28.444,26.137,25.979,26.142,26.347,26.466,26.252,26.169,26.189,26.201,26.414,26.464,26.608,27.132,26.393,8.89576,8.30719,-1.27488,,,,A370clu,39.9722193,-1.5430287
62,7.3556,0.0,8.0,3.855,1.2008,6.6508,3.9127e-24,8.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,532.311,6,16124,,,,40.809,40.898,35.441,47.695,44.575,26.604,,,,,,,,,,33.963,31.808,30.88,28.758,27.703,26.604,25.894,23.974,22.725,22.34,22.147,22.004,23.648,8.99548,8.96678,-0.98152,,,,A370clu,39.9656887,-1.5436901
63,0.47178,0.0,0.5885,0.3343,0.0939,0.6369,0.246817,33.0,1,0.4,,99.0,0.16,0.00919672,28.0,0.25,0.995412,,1000000000.0,3.04578,6,16124,,,,27.885,27.121,26.667,49.034,54.428,26.331,,,,,,,,28.413,28.18,27.919,27.123,26.662,26.442,26.237,26.143,26.074,25.877,26.402,26.197,26.88,26.37,25.201,9.03085,7.07066,-2.35311,,,,A370clu,39.9845758,-1.5430969
69,0.8767,0.0,5.1561,3.1363,0.767,4.9903,0.427714,26.0,0,0.25,,99.0,0.28,0.375187,26.0,0.5,0.828951,,1000000000.0,156.773,6,16124,,,,30.61,29.778,28.358,46.099,47.946,27.513,,,,,,,,,,31.842,29.581,28.526,27.927,27.516,27.242,26.855,25.811,25.29,25.071,24.909,24.871,25.771,9.073,8.25312,-1.94306,,,,A370clu,39.9827803,-1.5439397
70,0.10983,0.0857,0.1548,0.2556,0.0976,4.8172,28.1322,33.0,0,0.0,,99.0,4.8,26.8261,33.0,0.0,1.49553e-06,,1000000000.0,2.57777,7,16376,,,,,32.315,24.92,45.285,44.205,23.934,47.684,,,,,,,24.572,24.758,24.851,24.719,24.713,25.042,25.059,25.094,25.128,25.232,26.06,25.95,26.558,25.863,24.961,8.73752,6.10411,-2.92805,,,,A370clu,39.971363,-1.54441
75,5.6201,0.1032,5.7662,1.1438,0.4939,5.2046,0.290176,33.0,1,0.4,,99.0,0.26,0.000107657,22.0,0.3,0.999946,,1000000000.0,42018.8,8,16380,,,,28.976,27.344,19.898,36.559,40.373,18.996,38.241,18.555,18.846,19.138,17.253,,,21.652,21.164,20.811,20.478,19.907,19.359,19.213,18.942,18.798,18.559,18.28,18.459,18.791,18.85,18.08,9.2625,11.19942,0.27789,,,,A370clu,39.9707767,-1.5453281
76,0.21804,0.0,0.5552,0.3049,0.1007,0.5121,0.134125,33.0,3,0.4,,99.0,3.22,2.0781,23.0,0.05,0.353791,,1000000000.0,5.54341,6,16124,,,,27.037,26.143,25.659,47.303,49.56,25.349,,,,,,,,27.909,27.37,27.018,26.161,25.649,25.547,25.347,25.262,25.195,25.012,25.554,25.37,26.033,25.451,24.363,9.16826,6.93825,-3.50451,,,,A370clu,39.9838112,-1.5447759
81,1.5553,0.0863,2.5781,1.7412,1.1573,2.3264,0.017574,33.0,2,0.25,,99.0,2.05,0.0174465,33.0,0.25,0.991315,,1000000000.0,320.188,6,16124,,,,25.789,25.722,25.521,45.081,47.283,24.844,,,,,,,,27.135,26.181,25.801,25.713,25.517,25.155,24.871,24.83,24.827,24.615,24.368,24.318,24.549,24.803,24.106,8.82925,9.21597,-0.01218,,,,A370clu,39.9824349,-1.5450883
89,0.93502,0.0,6.4306,3.3409,0.911,5.6435,5.50894e-06,31.0,3,0.3,,99.0,4.92,1.06914e-11,20.0,0.05,1.0,,1000000000.0,1150.17,6,16124,,,,37.796,36.676,26.365,45.77,43.996,25.783,,,,,,,,,,28.452,26.767,26.364,26.211,25.892,25.785,25.548,24.719,24.267,24.065,23.974,23.928,24.824,8.9774,9.20049,-0.45854,,,,A370clu,39.9679149,-1.5451019
93,1.7561,0.0,6.1114,3.0056,0.6496,4.9876,9.92705e-08,27.0,2,0.15,,99.0,3.22,5.40827e-12,27.0,0.2,1.0,,1000000000.0,1243.64,6,16124,,,,35.455,34.359,25.185,47.273,46.366,24.484,,,,,,,,,32.802,26.273,25.346,25.185,25.028,24.813,24.484,24.081,23.446,23.021,22.943,22.888,22.951,23.739,8.97086,9.37986,0.18651,,,,A370clu,39.9703306,-1.5451118
94,1.5217,1.2061,2.0073,1.4437,1.2734,1.8104,0.491064,33.0,3,0.15,,99.0,-99.9,1000000000.0,,,,,1000000000.0,829.21,8,16380,,,,23.376,23.453,23.36,44.81,46.585,22.799,40.269,22.921,22.201,22.464,,,,23.752,23.389,23.381,23.455,23.355,22.965,22.921,22.97,22.692,22.881,22.813,22.921,23.302,23.439,23.263,8.70002,9.72453,0.78529,,,,A370clu,39.9855419,-1.5456328
100,0.43173,0.0,0.5833,0.3254,0.0964,0.5769,0.0182349,33.0,1,0.4,,99.0,0.01,0.0196325,1.0,0.0,0.990232,,1000000000.0,3.70309,6,16124,,,,27.689,26.848,26.349,47.948,50.019,25.96,,,,,,,,28.201,27.968,27.707,26.844,26.348,26.23,26.025,25.931,25.862,25.664,26.19,25.985,26.668,26.158,24.988,9.12074,6.89488,-3.07955,,,,A370clu,39.9858644,-1.5459366
107,0.48218,0.0,0.8322,0.5502,0.2308,3.3453,0.0741535,1.0,0,0.0,1278000000.0,99.0,0.18,0.0941973,29.0,0.5,0.953993,,1000000000.0,38089500.0,6,16124,,,,29.209,28.058,27.297,48.641,50.182,26.773,,,,,,,,29.716,29.551,29.262,28.075,27.271,27.035,26.931,26.868,26.82,26.765,27.006,27.335,27.688,28.231,30.202,9.23369,7.17099,-3.68898,,,,A370clu,39.9882805,-1.5460919
115,3.4572,0.1545,3.5416,0.2807,0.1406,0.5029,13.5248,29.0,0,0.0,,99.0,0.45,13.2436,1.0,0.0,0.00133102,,1000000000.0,0.581955,7,16348,,,,27.026,26.299,25.866,,45.764,25.543,45.833,27.768,22.804,23.455,20.028,23.255,,26.908,27.009,26.892,26.282,26.175,26.237,26.216,26.248,26.289,26.292,27.042,27.173,27.665,27.242,26.251,8.75933,6.89421,-2.15754,,,,A370clu,39.973105,-1.5465887
119,3.9505,3.8021,4.1194,4.0075,3.8595,4.1689,0.210195,26.0,0,0.05,,99.0,-99.9,1000000000.0,,,,,1000000000.0,821.146,6,16124,,,,29.448,26.138,25.397,45.989,49.109,25.297,,,,,,,,,,29.623,26.13,25.407,25.275,25.24,25.161,25.055,24.073,23.655,23.53,23.462,23.373,24.807,8.91526,10.13023,0.68279,,,,A370clu,39.9849853,-1.546634
123,0.42143,0.0665,0.6163,2.9721,0.307,3.7578,1.01091,33.0,1,0.5,,99.0,3.29,0.219812,26.0,0.15,0.895919,,1000000000.0,4766.68,6,16124,,,,28.215,26.626,25.83,52.316,55.346,25.278,,,,,,,,,34.429,28.241,26.549,25.93,25.507,25.252,24.928,24.59,23.947,23.14,22.877,22.672,22.694,22.93,9.32732,7.91248,-3.51067,,,,A370clu,39.9853534,-1.5463526
124,0.0,0.0,0.8964,0.8679,0.1724,3.047,0.991505,33.0,3,0.2,,99.0,0.3,0.147309,2.0,0.0,0.928993,,1000000000.0,8.9679,7,16348,,,,28.058,27.228,27.165,,43.866,26.368,44.126,26.941,25.273,26.264,,16.249,,27.774,27.693,27.79,27.507,27.067,26.96,26.637,26.651,26.891,26.763,26.842,27.213,27.171,27.818,26.282,8.84239,7.29337,-2.01755,,,,A370clu,39.9743305,-1.5467767
130,0.91565,0.8208,2.3938,1.0868,0.2814,5.2576,0.00392404,1.0,0,0.0,904800000.0,99.0,1.28,0.000572946,29.0,0.05,0.999714,,1000000000.0,24199200000.0,8,16380,,,,37.318,34.972,21.972,39.678,41.418,21.28,37.964,21.166,21.94,22.531,,,,23.069,22.98,22.888,22.784,21.97,21.411,21.317,21.282,21.263,21.169,21.141,21.347,21.76,22.223,24.155,8.99538,10.07319,0.4382,,,,A370clu,39.9646249,-1.5469891
