catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
0,12,0.0,0.0,0.0232,0.0291,,0.0826,2.61525,27.0,0,0.0,,99.0,0.84,9.10709,33.0,0.0,0.0105298,,1000000000.0,407.56,9,16348,,,,18.876,17.878,14.836,,36.528,13.952,38.89,14.218,15.373,15.807,6.998,,,15.127,15.015,14.257,14.037,13.967,13.926,13.968,13.977,13.97,14.196,14.86,15.352,15.2,14.249,18.608,8.79053,9.30613,-0.37209,,,,A370clu,39.9776123,-1.5426144,LEDA  175370,39.97751187596,-1.54266799553,rG,0.045,D,2012ApJS..202....2W,0.40967556633434316,SIMBAD
74,285,0.0,0.0,0.0246,0.0548,0.0132,0.2627,11.0732,32.0,3,0.2,,99.0,0.41,14.7202,32.0,0.05,0.000636128,,1000000000.0,0.244771,10,16380,,,,24.654,24.266,24.237,24.265,24.115,23.918,23.747,24.621,24.269,24.405,15.202,,,25.336,25.22,24.652,24.272,24.309,24.15,24.116,24.094,24.064,24.259,24.528,25.185,25.074,23.813,26.542,8.84688,6.35479,-2.89879,,,,A370clu,39.966108,-1.5531153,[LRB2019] 14143,39.96608510000001,-1.5531106,G,0.9426,E,2019MNRAS.485.3738L,0.08412875461180504,SIMBAD
76,289,0.39994,0.3669,0.4185,0.3984,0.373,0.4293,68.0787,23.0,0,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,129.622,10,16380,,,,24.257,22.65,21.722,21.268,20.974,20.825,20.698,19.688,20.29,20.571,,4.211,,26.14,25.319,24.28,22.686,21.717,21.244,20.942,20.739,20.574,20.173,20.604,20.816,21.166,20.957,20.074,9.5666,9.77918,-3.81366,,,,A370clu,39.9636171,-1.5534986,[LRB2019] 14179,39.96361,-1.5534900000000005,G,0.3698,C,2019MNRAS.485.3738L,0.04014168700616326,SIMBAD
83,304,0.38511,0.3704,0.3984,0.3779,0.3547,0.3958,104.528,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,322.2,10,16380,,,,23.708,21.866,21.005,20.573,20.309,20.184,20.079,18.955,19.55,19.82,,16.554,,25.739,24.715,23.58,21.918,21.006,20.591,20.301,20.121,19.963,19.56,19.986,20.263,20.626,20.355,19.503,9.52694,9.89114,-3.09752,,,,A370clu,39.9680776,-1.5545495,SDSS J023952.33-013316.3,39.9680672,-1.5545355,GiC,0.36856,C,2016MNRAS.461..248S,0.06277644436837918,SIMBAD
86,309,0.0,0.0,8.0,,,,1000000000.0,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,8.13723e-14,10,16380,,,,17.156,16.892,16.39,16.108,15.979,16.022,15.88,19.598,19.826,20.21,20.996,,,18.174,18.383,18.159,18.078,18.443,18.482,18.538,18.56,18.578,18.974,19.331,19.966,19.446,18.615,inf,,,,,,,A370clu,39.9695804,-1.5570726,[LRB2019] 15491,39.96954999999999,-1.55708,G,0.8416,C,2019MNRAS.485.3738L,0.11259644663715959,SIMBAD
93,323,0.6483,0.6035,0.6655,0.6217,0.5618,0.6569,7.81571,33.0,3,0.3,,99.0,-99.9,1000000000.0,,,,,1000000000.0,272.064,10,16380,,,,23.987,23.523,22.968,22.825,22.772,22.674,22.65,22.296,22.482,22.994,,,,24.241,24.369,23.954,23.527,23.046,22.757,22.747,22.646,22.552,22.409,22.632,22.959,22.861,23.415,21.906,8.8503,9.07716,-0.19461,,,,A370clu,39.9642335,-1.5548918,[LRB2019] 14523,39.96421,-1.55488,G,0.6032,C,2019MNRAS.485.3738L,0.09463847366948212,SIMBAD
99,334,0.18473,0.1187,0.3665,0.2036,0.1217,0.341,1.69125,1.0,0,0.0,2500000000.0,99.0,0.56,6.19466,1.0,0.0,0.0451697,,1000000000.0,169633000.0,10,16380,,,,25.939,24.594,23.912,23.712,23.56,23.466,23.47,23.418,23.937,24.666,,,,28.515,27.383,25.925,24.541,23.983,23.669,23.56,23.525,23.49,23.379,24.103,24.454,24.946,25.474,27.658,9.38418,7.96627,-3.79278,,,,A370clu,39.9658228,-1.5550314,[LRB2019] 14492,39.96582,-1.55503,G,0.36,D,2021A&A...646A..83R,0.011266462388391688,SIMBAD
108,353,2.0689,2.0128,2.1263,2.0365,1.9005,2.093,7.40366,32.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,8219.33,10,16380,,,,24.342,23.987,23.608,23.009,22.545,22.349,22.281,21.663,21.119,21.09,,18.134,,27.995,25.574,24.478,23.976,23.591,23.099,22.561,22.318,22.162,21.657,21.223,21.066,21.086,21.453,20.565,9.0485,10.55984,0.67513,,,,A370clu,39.9666582,-1.5557168,[BHF2019] A370   3824,39.96664,-1.55572,G,1.9304,D,2021A&A...646A..83R,0.06650125295617854,SIMBAD
127,385,0.36859,0.36,0.3756,0.3696,0.3553,0.3862,143.362,31.0,1,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,531.573,10,16380,,,,23.364,22.164,21.525,21.156,20.863,20.708,20.594,19.495,19.959,20.07,21.145,19.727,,24.258,23.888,23.4,22.186,21.499,21.134,20.853,20.716,20.621,20.321,20.681,20.674,21.168,20.939,19.762,9.4436,9.33678,-2.81392,,,,A370clu,39.9671812,-1.5568315,BOW ACO  370 CC280,39.9670728,-1.5568699,GiC,0.3277,C,2019MNRAS.485.3738L,0.41386609561856974,SIMBAD
129,387,0.73309,0.3555,1.4079,0.8436,0.5048,2.131,1243.71,5.0,0,0.0,,99.0,4.39,1243.73,33.0,0.0,8.48058e-271,,1000000000.0,6.2383,9,16316,,,,-2.032,-2.504,-2.609,5.148,,-2.632,-2.824,24.349,24.255,24.944,25.03,23.532,,33.146,31.122,29.689,27.536,25.909,25.169,24.907,24.771,24.635,24.351,24.335,24.762,25.083,25.593,26.8,9.06925,8.79409,-1.40616,,,,A370clu,39.9776768,-1.5567161,[SLM2018] A370-clu  5615,39.97766519999999,-1.5567155,EmG,0.39,E,2021MNRAS.508.3860G,0.04180043272188221,SIMBAD
