candidate_family_id,n_images,median_simbad_zspec,max_pair_color_rms,max_pair_separation_arcsec,median_reliability,min_reliability,simbad_system_hint,method,specz_tol,color_rms_max,max_separation_arcsec,reliability_floor,reliability_ceil,min_common_colors,require_simbad_system_hint
900001,5,1.4285,0.17964733971497177,117.34563730076023,0.808567489213107,0.7087054120033106,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900002,2,0.714,0.13829557717680938,0.7029839433543011,0.9450941989870133,0.9450941989867652,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900003,2,1.638,0.1399493956161769,55.34580966234479,0.9097339669680828,0.9097338932483913,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900004,2,1.4194499999999999,0.08168945260354431,43.12995986523958,0.9493216350393265,0.9493210657818821,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900005,2,1.483,0.10954998858968462,6.622416476727478,0.8894976595686248,0.8878184998276265,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900006,2,1.4405000000000001,0.23269454226517697,117.08703681706118,0.8007690238985342,0.7872133716398645,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900007,2,1.5985,0.1034995974227281,108.89317926301462,0.835113752068753,0.8351058004279841,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900008,2,1.22845,0.06665208173793193,33.2798308075664,0.9574472717192671,0.9574470381953638,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900009,3,1.259,0.21160103969498756,45.82832199774715,0.9461535942714304,0.7507486963701481,2,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900010,2,1.44875,0.05469613027140809,92.02287510107836,0.8825077143305211,0.882502583638079,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900011,2,3.60635,0.22823343313371083,18.96540981579479,0.8833313191457834,0.8833312780704357,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900012,2,0.459,0.08887631855561948,45.23222114928733,0.9493088917073917,0.9493086812193458,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900013,2,0.6105,0.225735833811706,79.45426388687194,0.8411369422167982,0.8411348413058826,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900014,2,1.035,0.0589886994827537,36.00127041388054,0.9632178478601426,0.963217607269978,14,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900015,2,4.113,0.19781102092653977,1.1474550911465575,0.9156299910969914,0.9099848362827364,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
