candidate_family_id,image_number,catalog_index,id,ra,dec,catalog_z,simbad_zspec,simbad_main_id,simbad_system_hint,simbad_match_sep_arcsec,delta_z_from_family_median,color_rms_from_family_median,centroid_radius_arcsec,family_reliability
900001,1,8,46,342.1669392,-44.5112473,1.6872,1.43,[BHF2019] RXCJ2248   3104,,0.19779430257239236,0.0014999999999998348,0.06584451381854015,59.77609761690921,0.808567489213107
900001,2,20,107,342.1946324,-44.5128058,1.7219,1.4317,NAME CMC2020 GLASS 00093-99-99,,0.20466427031289405,0.0031999999999998696,0.05507570547286159,57.76015426888131,0.7087054120033106
900001,3,260,933,342.1741805,-44.5283698,1.6241,1.4285,NAME CMC2020 MUSE SW 462-99-99,,0.050050991213786575,0.0,0.022664215553746182,19.25312343763319,0.9643416732843241
900001,4,342,1211,342.1758148,-44.5325324,1.1178,1.4283,NAME CMC2020 MUSE SW 461-99-99,,0.05086929342017435,0.00020000000000020002,0.1553018566104947,29.184058226683348,0.7938668210223687
900001,5,497,1669,342.1884306,-44.5400177,1.5223,1.428,[BHF2019] RXCJ2248    931,,0.0749093616885269,0.000500000000000167,0.04762177373149083,58.250538889848706,0.8577277587021822
900002,1,561,1935,342.1801455,-44.5441267,0.6824,0.714,[GVR2012] 667,,0.6955827828290806,0.0,0.06914778858840469,0.35149196032541713,0.9450941989872614
900002,2,736,2633,342.1801998,-44.5439353,0.466,0.714,[GVR2012] 667,,0.7154992390289212,0.0,0.06914778858840469,0.35149198303407136,0.9450941989867652
900003,1,296,1024,342.2084843,-44.5292364,1.6307,1.6372,[BHF2019] RXCJ2248   1827,,0.07238912176947873,0.0007999999999999119,0.06997469780808845,27.672949456748903,0.9097338932483913
900003,2,564,1953,342.2050921,-44.5444189,1.6772,1.6388,[GDS2018] AS1063-732,,0.26705606936467524,0.0008000000000001339,0.06997469780808845,27.672860217238274,0.9097340406877744
900004,1,65,284,342.1759131,-44.5165018,1.5968,1.4199,NAME CMC2020 R2248 LRb p1 M3 Q4 58 2,,0.01873051006617239,0.00045000000000006146,0.040844726301772154,21.56540264177407,0.9493210657818821
900004,2,174,677,342.1616751,-44.5228637,1.6567,1.419,[BHF2019] RXCJ2248   2405,,0.14547108493632557,0.0004499999999998394,0.040844726301772154,21.56455729070791,0.9493222042967709
900005,1,68,291,342.162159,-44.5162493,1.2235,1.485,[BHF2019] RXCJ2248   2798,,0.2106901756918006,0.0020000000000000018,0.05477499429484231,3.3112018234166225,0.8878184998276265
900005,2,114,489,342.1635523,-44.5147011,1.1119,1.481,[BHF2019] RXCJ2248   2910,,0.1343153198128426,0.0020000000000000018,0.05000249993750319,3.311214653484424,0.8911768193096232
900006,1,422,1464,342.2101046,-44.5365201,1.9621,1.44,[WEC2019] 48,,0.09656727115841769,0.000500000000000167,0.11634727113258848,58.54566761511693,0.7872133716398645
900006,2,593,2071,342.1663818,-44.5458299,1.4196,1.441,[BHF2019] RXCJ2248    484,,0.11733214845002894,0.0004999999999999449,0.09499714908002962,58.5413704290737,0.8143246761572039
900007,1,275,969,342.1633669,-44.5297192,1.6919,1.597,[BHF2019] RXCJ2248   1818,,0.10951561472660845,0.0015000000000000568,0.05174979871136405,54.44926882100187,0.8351058004279841
900007,2,625,2209,342.1961257,-44.5489481,1.7327,1.6,[BHF2019] RXCJ2248    169,,0.18528828467125394,0.0015000000000000568,0.05174979871136405,54.44391152098014,0.8351217037095219
900008,1,142,586,342.1864624,-44.521187,1.3598,1.229,[MSG2014] 2c,,0.14591787936019726,0.0005500000000000504,0.03332604086896596,16.640138118612086,0.9574470381953638
900008,2,217,810,342.1952413,-44.5279903,1.1385,1.2279,[KCC2017] NE-88d,,0.48090648190375307,0.0005500000000000504,0.03332604086896596,16.639692717481342,0.9574475052431705
900009,1,154,621,342.1797486,-44.5215724,1.4118,1.259,[KIS2018] AS1063 2.3,2,0.02859762540194917,0.0,0.026127890589685804,30.172988777108493,0.9461535942714304
900009,2,256,921,342.1924785,-44.5304993,1.4781,1.2593,NAME CMC2020 R2248 MR p1 M1 Q4 51 1,,0.5894890110773312,0.000300000000000189,0.04521246140906977,15.75444337542638,0.9554328448270072
900009,3,305,1052,342.193306,-44.529408,1.7417,1.258,[MSG2014] 13b,,0.0508619911446742,0.0009999999999998899,0.17871159261036584,14.728835169534793,0.7507486963701481
900010,1,178,684,342.17891,-44.5236029,1.6131,1.45,[BHF2019] RXCJ2248   2341,,0.027708644520640553,0.0012499999999999734,0.027348065135704046,46.01336666509677,0.882502583638079
900010,2,479,1631,342.2071145,-44.5393877,1.4746,1.4475,NAME CMC2020 GLASS 01404-99-99,,0.05783634406752801,0.0012499999999999734,0.027348065135704046,46.00950908992659,0.8825128450229633
900011,1,430,1487,342.1788243,-44.5367164,3.9773,3.6067,[MSG2014] 21b,,0.07465016685569181,0.0003500000000000725,0.11411671656685542,9.482779761016028,0.8833312780704357
900011,2,692,2438,342.1855089,-44.5389639,3.8348,3.606,[MSG2014] 21a,,0.9110281235841664,0.0003500000000000725,0.11411671656685542,9.482630060327976,0.8833313602211311
900012,1,276,970,342.1604316,-44.5284855,0.3781,0.459,[GVR2012] 1610,,0.16973383562342115,0.0,0.04443815927780974,22.61625961607013,0.9493086812193458
900012,2,510,1700,342.1668125,-44.5401978,0.3796,0.459,[KCG2015] 37,,0.5892471360397384,0.0,0.04443815927780974,22.615961563330725,0.9493091021954378
900013,1,335,1188,342.1590247,-44.5318012,0.6429,0.61,[WEC2019] 28,,0.11757569312965066,0.000500000000000056,0.112867916905853,39.72809470193677,0.8411348413058826
