IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
1215,0.37139,0.3587,0.3818,0.3678,0.3512,0.3834,140.436,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,358.977,10,16380,,,,23.546,21.651,20.748,20.315,19.995,19.862,19.757,18.576,18.989,19.591,20.475,21.531,,25.627,24.593,23.414,21.691,20.747,20.312,19.997,19.811,19.649,19.233,19.679,19.945,20.311,20.01,19.175,9.56527,10.14164,-3.41618,,,,AS1063clu,342.1769499,-44.5341098,-21.96560937238173,-14.434920000016405,26.284118979089595,pagul21_photoz_f160w_radius,0.2536740493029863,True
971,0.40856,0.39,0.4293,0.4098,0.3859,0.4335,78.2101,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,555.618,10,16380,,,,23.207,21.61,20.757,20.349,20.08,19.957,19.858,18.848,19.527,19.784,20.727,21.496,,25.291,24.274,23.176,21.642,20.744,20.35,20.08,19.903,19.751,19.366,19.747,20.019,20.372,20.193,19.294,9.48125,10.00201,-2.50255,,,,AS1063clu,342.1619155,-44.5299715,-60.5495277680202,0.4629599999873335,60.551297631775306,pagul21_photoz_f160w_radius,1.4522078377258434,False
970,0.37628,0.3649,0.3849,0.3781,0.3555,0.4035,43.9507,33.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1282.43,10,16380,,,,21.628,20.895,20.439,20.226,20.098,20.005,19.943,19.414,19.811,19.902,20.71,19.939,,22.216,21.975,21.711,20.913,20.445,20.178,20.035,19.929,19.855,19.646,20.128,19.94,20.597,20.204,18.945,8.95872,9.95888,0.39618,,,,AS1063clu,342.1604316,-44.5284855,-64.35777262706611,5.812559999986888,64.61972416585039,pagul21_photoz_f160w_radius,1.624041555528346,False
127,0.36659,0.3632,0.3713,0.3652,0.3539,0.3746,209.316,33.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1040.09,10,16380,,,,21.812,21.051,20.632,20.417,20.197,20.085,19.992,18.815,19.382,19.319,20.314,18.837,,22.375,22.135,21.872,21.067,20.598,20.391,20.194,20.09,20.018,19.81,20.301,20.107,20.774,20.357,19.112,9.36436,7.59373,-3.71461,,,,AS1063clu,342.1673168,-44.5139265,-46.687762853627206,58.22496000000683,74.63171689890919,pagul21_photoz_f160w_radius,2.329697146630306,False
1388,0.47827,0.4633,0.4954,0.4592,0.4111,0.49,163.282,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,473.985,10,16380,,,,23.941,22.142,21.191,20.712,20.415,20.267,20.153,18.822,19.426,19.737,20.861,21.387,,26.024,24.978,23.8,22.207,21.158,20.7,20.417,20.223,20.059,19.638,19.95,20.185,20.532,20.518,19.526,9.55421,10.08346,-3.40169,,,,AS1063clu,342.1843788,-44.5361878,-2.900261146396888,-21.9157200000069,22.106793024679128,pagul21_photoz_f160w_radius,0.26175685082263656,False
1326,0.44812,0.449,0.4504,0.45,0.4432,0.457,176.926,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,16858800000.0,10,16380,,,,20.13,19.517,19.184,18.956,31.587,18.775,20.182,19.805,19.361,19.818,20.276,18.761,,20.058,20.126,20.119,19.502,19.248,19.224,19.279,19.264,19.274,19.333,19.846,20.165,20.546,21.17,23.264,8.7,9.95052,1.00103,,,,AS1063clu,342.2137498,-44.5344839,72.47675870142015,-15.781679999997777,74.1750765114955,pagul21_photoz_f160w_radius,2.0274573003831824,False
1315,0.336,0.3235,0.3506,0.337,0.3045,0.3624,44.8593,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,176.284,10,16380,,,,23.958,22.139,21.22,20.755,33.588,20.313,20.205,19.2,19.582,20.15,21.298,22.17,,26.15,25.12,23.934,22.172,21.194,20.686,20.31,20.092,19.908,19.45,19.969,20.161,20.543,20.145,19.378,9.5708,10.04497,-3.57338,,,,AS1063clu,342.2112394,-44.5341108,66.03412921566166,-14.438520000007316,67.59420893139672,pagul21_photoz_f160w_radius,1.8019775477132227,False
1671,0.39863,0.3842,0.4149,0.4065,0.3844,0.4693,105.77,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,331.158,10,16380,,,,23.697,22.108,21.217,20.764,20.483,20.349,20.247,19.119,19.883,20.106,21.093,21.656,,25.981,24.954,23.797,22.164,21.2,20.761,20.483,20.297,20.137,19.73,20.114,20.376,20.727,20.548,19.649,9.51111,9.94432,-2.90182,,,,AS1063clu,342.1889329,-44.5403873,8.787270299218703,-37.033920000001785,38.06215114622482,pagul21_photoz_f160w_radius,0.847373121540827,False
472,0.41908,0.4016,0.4387,0.4239,0.4034,0.4504,167.763,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,384.592,10,16380,,,,23.619,22.086,21.258,20.811,20.544,20.419,20.319,19.044,19.754,20.051,21.225,21.497,,25.779,24.759,23.653,22.128,21.21,20.814,20.546,20.368,20.214,19.829,20.196,20.46,20.813,20.663,19.751,9.46714,9.84696,-2.36096,,,,AS1063clu,342.1813438,-44.519709,-10.68921130944098,37.40795999999875,38.90520157741619,pagul21_photoz_f160w_radius,0.9152788025805391,False
1390,0.3929,0.3868,0.4006,0.3934,0.3833,0.4039,110.864,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,218.54,10,16380,,,,24.374,22.421,21.449,20.978,20.676,20.524,20.411,19.479,20.143,20.35,21.149,21.422,,26.352,25.321,24.126,22.421,21.445,20.981,20.681,20.493,20.33,19.91,20.324,20.586,20.942,20.703,19.833,9.60613,9.96923,-4.02793,,,,AS1063clu,342.1764599,-44.5336577,-23.223133451453247,-12.807360000002177,26.520603263758208,pagul21_photoz_f160w_radius,0.5163183587919403,False
