IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
1,0.0,0.0,0.0672,0.0906,0.0265,0.1996,257.08,1.0,0,0.0,508800000.0,99.0,0.55,263.275,33.0,0.0,6.768309999999999e-58,,1000000000.0,8797170.0,9,16316,,,,0.335,-1.147,-1.966,-2.255,,-2.585,-2.641,23.984,24.837,25.938,23.402,23.166,,24.757,24.706,24.112,23.887,23.815,23.864,23.903,23.929,23.937,24.049,24.846,25.245,25.74,26.267,28.506,9.28474,6.90028,-4.34587,,,,AS1063clu,342.1755106,-44.5552487,,,,,,,,,,False
2,0.0,0.0,0.009,0.0201,,0.0611,472.933,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,5.26255,9,16316,,,,17.362,15.741,14.858,13.986,,14.055,13.599,19.2,19.421,19.603,19.021,19.874,,18.306,18.51,18.293,18.21,18.588,18.624,18.682,18.705,18.723,19.089,19.453,20.101,19.717,18.732,24.185,8.72735,10.30469,1.30095,,,,AS1063clu,342.1500829,-44.5234184,,,,,,,,,,False
3,0.30433,0.1437,0.3285,0.2401,0.1662,0.3046,5.29455,6.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.31437,10,16380,,,,26.086,24.508,23.72,23.404,36.561,23.087,23.054,22.928,24.084,24.044,,,,29.018,27.783,26.054,24.487,23.776,23.387,23.183,23.121,23.084,22.937,23.739,24.021,24.52,24.969,26.216,9.52762,8.31793,-4.81867,,,,AS1063clu,342.1865366,-44.5093132,,,,,,,,,,False
4,0.05727,0.0006,0.1055,0.0971,0.0304,0.8471,40.1614,33.0,1,0.4,,99.0,0.8,43.655,33.0,0.2,3.31471e-10,,1000000000.0,0.291074,10,16380,,,,26.661,26.852,26.66,25.951,44.885,26.062,26.039,25.637,26.057,,,26.814,,28.079,27.852,27.252,26.763,26.28,26.095,25.962,25.896,25.833,25.87,26.051,26.693,26.732,25.456,26.309,8.73283,7.83742,-1.1723,,,,AS1063clu,342.1777423,-44.5559638,,,,,,,,,,False
5,8.0,7.9216,8.0,7.9054,7.7328,7.9755,243.973,18.0,0,0.5,,99.0,0.25,249.009,11.0,0.0,8.47974e-55,,1000000000.0,1008.3,10,16380,,,,-1.786,-1.921,-2.712,-3.095,-0.353,-3.153,-3.299,25.453,,25.857,24.224,24.212,,,,,,49.329,35.673,33.709,32.679,31.977,30.174,27.003,25.772,25.1,24.292,23.714,9.1749,6.32136,-4.84128,,,,AS1063clu,342.1736204,-44.5093795,,,,,,,,,,False
6,0.21472,0.1917,0.2595,0.1486,0.0211,0.276,367.19,33.0,0,0.0,,99.0,0.52,370.036,33.0,0.0,4.44366e-81,,1000000000.0,0.0474175,10,16380,,,,28.12,28.046,27.145,26.947,42.682,26.9,26.896,27.798,,,,,,27.747,27.94,27.875,27.882,27.789,28.155,28.193,28.229,28.258,28.461,28.896,29.501,29.652,28.452,28.635,8.73118,4.07299,-4.97826,,,,AS1063clu,342.189634,-44.5079447,,,,,,,,,,False
7,0.303,0.2961,0.3132,0.2967,0.2443,0.3182,367.915,31.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.25096,10,16380,,,,26.612,25.677,25.478,25.648,40.104,25.659,25.294,25.064,,26.893,24.142,24.691,,25.914,26.057,26.176,25.711,25.704,25.88,25.873,25.904,25.946,25.991,26.77,26.827,27.328,26.952,25.883,8.7435,6.51871,-2.50344,,,,AS1063clu,342.1834,-44.5094164,,,,,,,,,,False
9,0.0,0.0,0.0307,0.046,0.0113,0.1493,586.347,1.0,0,0.0,508800000.0,99.0,0.54,591.603,33.0,0.0,3.4287000000000005e-129,,1000000000.0,75397.1,10,16380,,,,27.998,27.913,27.963,27.873,27.253,27.282,27.55,27.678,,,,,,28.631,28.568,27.898,27.69,27.776,27.736,27.786,27.804,27.803,27.962,28.766,29.193,29.665,30.208,32.458,8.76528,4.33359,-4.80014,,,,AS1063clu,342.1717984,-44.5094796,,,,,,,,,,False
10,0.0,0.0,0.0258,0.0331,,0.0907,608.206,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,54094.4,10,16380,,,,28.267,27.137,26.351,26.103,25.874,25.887,25.83,25.782,,,,25.213,,27.868,27.804,27.105,26.927,27.014,26.979,27.032,27.045,27.039,27.229,28.035,28.471,28.934,29.484,31.739,8.77037,4.61015,-4.52533,,,,AS1063clu,342.1694332,-44.5096412,,,,,,,,,,False
11,0.20745,0.0,0.3616,0.1359,0.031,0.4078,421.607,33.0,0,0.0,,99.0,0.53,422.538,33.0,0.0,1.76642e-92,,1000000000.0,0.0162442,9,16316,,,,29.721,28.501,28.378,27.158,,26.854,27.611,27.812,,,,,,28.765,28.958,28.874,28.894,28.788,29.165,29.205,29.241,29.269,29.483,29.905,30.523,30.654,29.431,29.726,8.78574,4.66467,-4.58295,,,,AS1063clu,342.1891694,-44.5091412,,,,,,,,,,False
