IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,0.0,0.0,8.0,3.855,1.2008,6.6508,252.871,33.0,0,0.0,,99.0,2.61,252.871,33.0,0.0,1.22978e-55,,1000000000.0,939.713,7,16316,,,,0.335,-1.147,-1.966,-2.255,,-2.585,-2.641,23.984,24.837,25.938,23.402,23.166,,,,26.054,23.783,23.616,23.792,23.934,24.028,24.126,23.984,23.938,24.259,24.328,24.429,25.753,8.99548,9.7495,-0.15622,,,,AS1063clu,342.1755106,-44.5552487
2,0.0,0.0,0.0107,0.0253,,0.0738,471.267,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,11.4294,7,16316,,,,17.362,15.741,14.858,13.986,,14.055,13.599,19.2,19.421,19.603,19.021,19.874,,18.342,18.544,18.331,18.25,18.63,18.665,18.723,18.748,18.765,19.118,19.485,20.136,19.858,18.759,23.219,8.72405,7.37594,-1.76452,,,,AS1063clu,342.1500829,-44.5234184
3,0.41059,0.242,0.4849,0.3301,0.2481,0.4286,0.128934,4.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,3.27376,8,16380,,,,26.086,24.508,23.72,23.404,36.561,23.087,23.054,22.928,24.084,24.044,,,,28.696,27.836,26.09,24.501,23.734,23.399,23.196,23.113,23.07,22.916,23.672,23.914,24.34,24.812,25.568,9.40073,8.62582,-3.21738,,,,AS1063clu,342.1865366,-44.5093132
4,1.4805,1.172,2.5212,1.7791,1.3111,2.3062,0.269532,28.0,3,0.05,,99.0,3.01,4.9268,27.0,0.0,0.0851448,,1000000000.0,44.3108,8,16380,,,,26.661,26.852,26.66,25.951,44.885,26.062,26.039,25.637,26.057,,,26.814,,27.641,26.9,26.725,26.779,26.732,26.177,25.784,25.746,25.752,25.627,25.588,25.555,25.767,26.215,25.741,8.78557,8.68194,-0.45287,,,,AS1063clu,342.1777423,-44.5559638
5,0.0,0.0,8.0,3.855,1.2008,6.6508,140.543,33.0,0,0.0,,99.0,1.98,140.543,33.0,0.0,3.0304e-31,,1000000000.0,242.718,8,16380,,,,-1.786,-1.921,-2.712,-3.095,-0.353,-3.153,-3.299,25.453,,25.857,24.224,24.212,,,,27.523,25.253,25.086,25.262,25.404,25.498,25.596,25.453,25.408,25.728,25.798,25.899,27.223,8.99548,9.16161,-0.74419,,,,AS1063clu,342.1736204,-44.5093795
6,0.11048,0.0,0.3268,0.7729,0.1553,2.4754,1.02084,29.0,0,0.0,,99.0,0.75,1.01502,29.0,0.0,0.601993,,1000000000.0,1.60197,8,16380,,,,28.12,28.046,27.145,26.947,42.682,26.9,26.896,27.798,,,,,,27.967,28.036,28.145,28.009,27.427,27.332,27.309,27.413,27.392,27.458,27.657,28.081,28.255,28.789,27.555,8.81,7.08957,-2.1227,,,,AS1063clu,342.189634,-44.5079447
7,3.2313,0.1426,3.3568,0.3405,0.2018,3.263,0.959048,2.0,0,0.0,806400000.0,99.0,0.2,0.624519,2.0,0.0,0.731791,,1000000000.0,52451400.0,8,16380,,,,26.612,25.677,25.478,25.648,40.104,25.659,25.294,25.064,,26.893,24.142,24.691,,26.81,26.868,26.627,25.693,25.419,25.337,25.248,25.216,25.215,25.115,25.675,26.022,26.401,26.965,29.045,8.97498,7.21479,-2.36635,,,,AS1063clu,342.1834,-44.5094164
9,1.79,0.3686,2.727,1.2657,0.1958,2.404,0.77413,31.0,1,0.05,,99.0,1.13,0.52367,33.0,0.1,0.769638,,1000000000.0,5.43207,8,16380,,,,27.998,27.913,27.963,27.873,27.253,27.282,27.55,27.678,,,,,,27.966,27.863,27.913,28.015,27.953,27.57,27.596,27.557,27.522,27.551,27.615,27.812,28.241,28.491,28.273,8.76838,7.16139,-1.91255,,,,AS1063clu,342.1717984,-44.5094796
10,0.57008,0.0,0.7879,0.4086,0.145,0.7365,0.364706,1.0,0,0.0,1609000000.0,99.0,0.13,0.370295,7.0,0.0,0.830982,,1000000000.0,56887400.0,8,16380,,,,28.267,27.137,26.351,26.103,25.874,25.887,25.83,25.782,,,,25.213,,29.578,29.392,28.487,27.054,26.365,26.085,25.947,25.889,25.855,25.73,26.168,26.519,26.832,27.427,29.449,9.29172,7.45107,-3.71047,,,,AS1063clu,342.1694332,-44.5096412
11,0.066385,0.0,1.1539,1.6337,0.2832,3.5895,1.60277,33.0,1,0.3,,99.0,3.06,0.353277,33.0,0.2,0.838083,,1000000000.0,20.3773,7,16316,,,,29.721,28.501,28.378,27.158,,26.854,27.611,27.812,,,,,,30.373,29.455,29.122,28.888,28.707,28.152,27.827,27.786,27.85,27.575,27.275,27.234,27.496,27.665,27.255,8.90957,7.55374,-1.916,,,,AS1063clu,342.1891694,-44.5091412
12,0.31439,0.1941,0.459,0.3348,0.23,0.4869,1.33539,2.0,0,0.0,2200000000.0,99.0,4.15,6.25107,33.0,0.25,0.0439135,,1000000000.0,127479000.0,8,16380,,,,28.133,26.346,25.531,25.226,25.05,24.976,25.002,24.632,23.325,24.201,24.778,,,30.281,29.719,27.978,26.372,25.598,25.251,25.043,24.96,24.915,24.712,25.355,25.616,26.017,26.567,28.669,9.4395,7.87819,-4.28836,,,,AS1063clu,342.1739316,-44.5097498
