IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,0.30233,0.1845,0.3328,0.2247,0.1221,0.3109,88.2491,1.0,0,0.0,508800000.0,99.0,3.51,92.7154,33.0,0.0,7.36402e-21,,1000000000.0,2900070.0,10,4092,,,,28.296,26.868,26.734,27.118,26.949,27.392,27.349,26.955,,,,,,27.898,27.945,27.657,27.1,27.011,27.075,27.064,27.099,27.128,27.129,27.868,28.225,28.716,29.26,31.456,8.75749,6.10459,-2.97192,,,,AS1063clu,342.3345699,-44.5659243
2,1.5759,0.0,3.2251,1.8836,0.7051,2.8096,0.0725332,27.0,0,0.0,,99.0,1.12,0.153936,33.0,0.05,0.92592,,1000000000.0,20.1595,6,3836,,,,27.285,27.422,27.578,26.223,26.445,23.558,,,,,,,,28.5,27.478,27.334,27.402,27.447,26.977,26.535,26.437,26.394,26.327,26.319,26.307,26.477,26.992,26.487,8.91442,8.70626,-0.66778,,,,AS1063clu,342.3430286,-44.5667839
3,0.0,0.0,8.0,,,,1000000000.0,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,29.7182,9,4060,,,,23.259,21.851,20.996,,20.136,36.239,21.561,21.132,26.185,20.588,,,,22.22,22.399,22.622,22.358,22.403,22.708,22.721,22.751,22.788,22.87,23.697,23.547,24.21,23.628,22.54,,,,,,,AS1063clu,342.3171411,-44.5141087
5,0.58422,0.5435,0.6885,0.607,0.5233,4.2618,36.2449,1.0,0,0.0,1434000000.0,99.0,4.26,41.3558,33.0,0.2,1.04639e-09,,1000000000.0,161120000.0,9,4060,,,,28.587,27.074,26.046,,26.083,43.603,27.062,25.915,23.359,24.961,,,,28.968,28.698,28.411,27.111,26.112,25.797,25.672,25.587,25.519,25.425,25.534,25.897,26.257,26.765,28.693,9.13836,7.91982,-2.32674,,,,AS1063clu,342.3348007,-44.514024
6,0.42445,0.0322,0.6215,0.4457,0.1677,3.5462,1.69068,1.0,0,0.0,1278000000.0,99.0,3.53,1.92921,33.0,0.15,0.381134,,1000000000.0,53574100.0,8,3932,,,,28.274,26.954,26.418,,25.403,,26.575,26.022,26.206,25.007,,,,28.826,28.744,28.25,26.998,26.375,26.159,26.069,26.019,25.992,25.923,26.317,26.654,26.946,27.546,29.548,9.12,7.28432,-2.94193,,,,AS1063clu,342.3345537,-44.5140169
8,4.2785,4.2433,4.3502,4.2668,4.1915,4.3235,5.68071,33.0,3,0.05,,99.0,-99.9,1000000000.0,,,,,1000000000.0,340.653,9,4088,,,,,26.057,25.327,45.532,25.973,43.395,25.985,25.602,25.016,24.61,,,,,,33.881,26.052,25.344,25.485,25.578,25.623,25.675,25.507,25.295,25.65,25.658,25.71,27.024,8.72758,8.02628,-0.96818,,,,AS1063clu,342.3283391,-44.5141673
9,0.43544,0.0878,0.5862,0.3125,0.1081,0.6761,1.54496,27.0,0,0.0,,99.0,3.43,1.92077,33.0,0.05,0.382745,,1000000000.0,0.518801,10,4092,,,,27.501,26.623,26.238,44.677,26.124,40.664,25.96,26.65,26.972,26.477,,,,27.474,27.554,27.428,26.597,26.394,26.378,26.338,26.354,26.388,26.366,27.081,27.266,27.77,27.416,26.318,8.87493,6.81299,-2.49473,,,,AS1063clu,342.3177668,-44.5148165
10,0.0,0.0,0.0175,0.0666,,0.5062,37.5009,2.0,0,0.0,508800000.0,99.0,0.47,34.7943,33.0,0.05,2.78298e-08,,1000000000.0,1581040.0,8,3932,,,,25.355,25.399,25.302,,25.044,,24.726,24.689,27.218,24.444,,,,26.162,26.095,25.521,25.304,25.291,25.201,25.197,25.197,25.181,25.274,26.071,26.458,26.934,27.456,29.683,8.73413,4.29773,-4.66339,,,,AS1063clu,342.3372409,-44.5143195
12,0.44671,0.421,0.4554,0.4454,0.3894,0.5619,98.8034,1.0,0,0.0,806400000.0,99.0,3.6,104.066,33.0,0.05,2.52612e-23,,1000000000.0,216592000.0,9,4060,,,,25.903,24.748,24.122,,23.815,41.4,23.684,24.82,21.608,24.179,,,,25.754,25.786,25.643,24.771,24.383,24.296,24.291,24.267,24.266,24.283,24.731,25.075,25.403,26.015,28.065,8.91702,8.08064,-1.36905,,,,AS1063clu,342.3229425,-44.5144587
13,2.7972,2.7325,2.8703,2.8472,0.5016,3.0297,11.5371,33.0,1,0.2,,99.0,0.07,17.2228,33.0,0.4,0.000182015,,1000000000.0,728.427,10,4092,,,,25.991,25.381,25.142,43.75,25.201,42.759,25.063,24.894,23.83,24.514,,,,,29.368,26.026,25.357,25.247,25.211,25.206,24.952,24.718,24.676,24.425,24.367,24.318,24.54,24.813,8.73067,7.92186,-1.10965,,,,AS1063clu,342.3264028,-44.5144957
