catalog_index,id,ra,dec,z_source,cluster,z_lens,best_mu,median_mu,n_valid_mu_models,mu_model_000,mu_model_001,mu_model_002,mu_model_003,mu_model_004,mu_model_005,mu_model_006,mu_model_007,mu_model_008,mu_model_009,mu_model_010,mu_model_011,mu_model_012,mu_model_013,mu_model_014,mu_model_015,mu_model_016,mu_model_017,mu_model_018,mu_model_019,mu_model_020,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
4,18,342.180666,-44.5101691,3.0756,abells1063,0.348,1.56,1.63,19,1.56,1.67,1.63,1.63,1.62,1.37,1.37,1.29,,1.92,1.74,1.8,1.69,1.76,,1.28,1.28,1.34,1.42,1.94,1.78,[BHF2019] RXCJ2248   3122,342.1807,-44.5102,G,2.95,E,2021MNRAS.501.1028Y,0.14139762666926223,SIMBAD
8,46,342.1669392,-44.5112473,1.6872,abells1063,0.348,1.52,1.31,19,1.52,1.36,1.31,1.31,1.31,1.12,1.12,1.1,,1.54,1.54,1.44,1.41,1.41,,1.08,1.08,1.08,1.08,1.73,1.38,[BHF2019] RXCJ2248   3104,342.1669,-44.5112,G,1.43,E,2021MNRAS.501.1028Y,0.19779430257239236,SIMBAD
14,77,342.1992297,-44.5133209,2.0659,abells1063,0.348,2.3,2.72,21,2.3,2.75,2.42,2.42,2.41,2.72,2.72,3.18,2.97,2.8,1.92,2.8,2.74,6.51,5.85,2.32,2.32,2.5,2.51,3.09,3.17,NAME CMC2020 R2248 MR p1 M1 Q4 59 1,342.1991817,-44.5133024,LeG,1.4267,C,2018A&A...613A..72G,0.1400682214329642,SIMBAD
19,100,342.1762321,-44.512699,0.9764,abells1063,0.348,1.36,1.5,21,1.36,1.5,6.9,6.9,5.98,1.32,1.32,1.27,1.59,1.65,1.7,1.52,1.47,3.2,1.41,1.15,1.15,1.18,1.34,1.59,1.52,[BHF2019] RXCJ2248   2887,342.17619999999994,-44.51270000000001,G,1.583,E,2021MNRAS.501.1028Y,0.08248386544357382,SIMBAD
20,107,342.1946324,-44.5128058,1.7219,abells1063,0.348,2.08,2.08,21,2.08,2.24,2.08,2.08,2.07,2.04,2.04,2.39,2.41,2.37,1.86,2.41,2.28,2.43,7.33,1.87,1.87,2.07,1.57,2.16,2.18,NAME CMC2020 GLASS 00093-99-99,342.1945875,-44.51285277777779,LeG,1.4317,C,2020MNRAS.492..821C,0.20466427031289405,SIMBAD
21,109,342.1938898,-44.5128706,2.5318,abells1063,0.348,2.2,2.25,21,2.2,2.43,2.25,2.25,2.24,2.16,2.16,2.52,2.64,2.6,1.98,2.65,2.48,2.66,5.22,2.01,2.01,2.18,1.62,2.31,2.31,[BHF2019] RXCJ2248   2986,342.1938,-44.5128,G,2.2,E,2021MNRAS.501.1028Y,0.34313386785344696,SIMBAD
24,121,342.21158,-44.5136149,2.4947,abells1063,0.348,2.36,2.44,19,,2.36,2.07,2.07,2.08,2.53,2.53,2.42,3.08,2.84,1.52,2.44,2.77,3.63,,1.29,1.29,1.64,3.03,5.12,3.69,[WEC2019] 3,342.2113666666666,-44.513652777777786,G,0.211,D,2019ApJ...877....7W,0.5643692434468841,SIMBAD
26,127,342.1673168,-44.5139265,0.3652,abells1063,0.348,1.03,1.02,21,1.03,1.02,1.14,1.14,1.14,1.01,1.01,1.01,1.03,1.09,1.03,1.02,1.02,1.02,1.01,1.0,1.0,1.0,1.01,1.03,1.02,[DCL2021] RX J2248.7-4431 c,342.16724999999997,-44.51391944444444,G,0.3517,C,2014ApJ...792...45R,0.1733524334553717,SIMBAD
31,154,342.1970853,-44.5133288,4.3472,abells1063,0.348,2.56,3.07,21,2.56,3.07,2.74,2.74,2.73,2.9,2.9,3.65,3.33,3.23,2.08,3.3,3.15,3.38,26.6,2.74,2.74,3.07,2.24,3.2,3.13,[BHF2019] RXCJ2248   2871,342.1971,-44.51330000000001,G,1.34,E,2021MNRAS.501.1028Y,0.1103340058903533,SIMBAD
47,209,342.1928236,-44.5149598,0.3841,abells1063,0.348,1.07,1.1,21,1.07,1.09,1.28,1.28,1.27,1.1,1.1,1.1,1.38,1.68,1.06,1.09,1.09,1.39,1.37,1.08,1.08,1.1,1.12,1.13,1.68,[KCC2017] NE-27,342.19269,-44.51492,G,0.3424,D,2017A&A...599A..28K,0.37168357233942684,SIMBAD
56,249,342.163373,-44.5147559,1.3093,abells1063,0.348,1.57,1.36,21,1.57,1.46,1.36,1.36,1.35,1.14,1.14,1.13,1.54,1.56,1.61,1.47,1.43,1.42,1.17,1.08,1.08,1.07,1.21,1.83,1.51,[BHF2019] RXCJ2248   2922,342.1634,-44.5148,G,1.55,E,2021MNRAS.501.1028Y,0.1732300924652987,SIMBAD
59,257,342.2053612,-44.5155148,3.7277,abells1063,0.348,3.54,4.23,21,3.54,4.61,3.45,3.45,3.45,5.67,5.67,4.23,5.4,4.73,1.95,3.93,4.39,5.57,1.33,2.82,2.82,3.25,29.93,16.9,11.11,[BVR2013] J224849.28-443055.8,342.2053289,-44.5154793,LeG,3.5457,C,2018A&A...613A..72G,0.15234070364743094,SIMBAD
65,284,342.1759131,-44.5165018,1.5968,abells1063,0.348,1.58,1.82,21,1.58,1.86,1.76,1.76,1.75,2.03,2.03,1.99,2.02,1.98,2.2,1.98,1.82,1.87,1.88,1.37,1.37,1.65,1.3,1.54,1.73,NAME CMC2020 R2248 LRb p1 M3 Q4 58 2,342.175906,-44.51650300000001,LeG,1.4199,C,2020MNRAS.492..821C,0.01873051006617239,SIMBAD
68,291,342.162159,-44.5162493,1.2235,abells1063,0.348,1.5,1.32,21,1.5,1.38,1.32,1.32,1.32,1.13,1.13,1.12,1.5,1.52,1.62,1.45,1.42,1.4,1.19,1.09,1.09,1.07,1.14,1.78,1.38,[BHF2019] RXCJ2248   2798,342.1622,-44.5163,G,1.485,E,2021MNRAS.501.1028Y,0.2106901756918006,SIMBAD
69,293,342.1817283,-44.511778,0.5085,abells1063,0.348,1.17,1.51,21,1.17,1.21,75.84,75.84,26.57,1.51,1.51,1.54,5.36,1.25,1.2,1.13,3.99,0.28,1.18,1.09,1.09,1.12,6.76,8.39,27.04,[GVR2012] 1199,342.181683,-44.511773,GiC,0.5341,D,2012AJ....144...79G,0.117678172397779,SIMBAD
73,305,342.1856441,-44.5160755,1.2586,abells1063,0.348,1.8,2.13,21,1.8,2.24,2.08,2.08,2.07,2.13,2.13,1.93,2.34,2.29,4.34,2.35,2.12,2.25,6.06,2.67,2.67,3.18,1.74,2.0,2.01,[BHF2019] RXCJ2248   2817,342.1856,-44.5161,G,1.15,E,2021MNRAS.501.1028Y,0.14350775028344628,SIMBAD
74,307,342.2108859,-44.5132518,1.7702,abells1063,0.348,2.2,2.26,19,,2.2,1.96,1.96,1.97,2.4,2.4,2.25,2.81,2.58,1.47,2.26,2.47,3.15,,1.27,1.27,1.52,2.84,3.97,3.25,[BHF2019] RXCJ2248   2983,342.2109,-44.51330000000001,G,1.56,E,2021MNRAS.501.1028Y,0.17725508744136503,SIMBAD
76,317,342.1835974,-44.5164592,2.0682,abells1063,0.348,1.86,2.56,21,1.86,2.67,2.4,2.4,2.39,2.46,2.46,2.2,2.8,2.67,6.19,2.73,2.38,2.56,4.67,3.03,3.03,3.83,1.95,2.23,2.57,[BHF2019] RXCJ2248   2755,342.18355416666657,-44.51648333333334,G,1.241,E,2019ApJ...877....7W,0.14094132950605798,SIMBAD
91,419,342.1739949,-44.514093,0.3748,abells1063,0.348,1.04,1.04,21,1.04,1.04,1.04,1.04,1.03,1.03,1.03,1.03,1.05,1.05,1.05,1.04,1.04,1.04,1.04,1.01,1.01,1.01,1.02,1.04,1.04,[BHF2019] RXCJ2248   3001,342.173965,-44.514089,LeG,5.98,E,2022MNRAS.514.1148Y,0.0780948190257134,SIMBAD
99,446,342.1737521,-44.5142557,2.8152,abells1063,0.348,1.63,1.63,21,1.63,1.72,1.61,1.61,1.61,1.62,1.62,1.56,1.9,1.92,2.23,1.85,1.72,1.76,1.72,1.23,1.23,1.29,1.26,1.75,1.67,[BHF2019] RXCJ2248   3001,342.173965,-44.514089,LeG,5.98,E,2022MNRAS.514.1148Y,0.8116895375513236,SIMBAD
100,454,342.169966,-44.5189176,1.9347,abells1063,0.348,1.84,1.84,21,1.84,1.84,1.7,1.7,1.7,1.88,1.88,1.87,1.97,1.97,3.07,1.99,1.84,1.86,1.61,1.4,1.4,1.32,1.18,1.31,1.7,[TSB2015] GLASS RXJ2248-00331,342.169955,-44.518922,LeG,1.93,D,2020ApJ...900..183W,0.03237517456806058,SIMBAD
102,456,342.1670453,-44.5187733,1.3707,abells1063,0.348,1.69,1.52,21,1.69,1.61,1.52,1.52,1.51,1.46,1.46,1.46,1.73,1.73,2.81,1.72,1.64,1.63,1.39,1.23,1.23,1.16,1.13,1.36,1.54,NAME CMC2020 GLASS 00333-99-99,342.16720833333335,-44.518861111111114,LeG,1.4285,C,2020MNRAS.492..821C,0.5244637648221636,SIMBAD
