catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
5391,18,3.0462,2.9813,3.1676,3.0756,2.9788,3.1591,3.07679,30.0,1,0.05,,99.0,-99.9,1000000000.0,,,,,1000000000.0,595.253,10,16380,,,,25.429,24.768,24.623,24.819,24.837,24.611,24.309,23.995,24.13,24.113,,,,,35.338,25.394,24.734,24.719,24.793,24.794,24.64,24.392,24.038,24.001,24.003,24.037,24.16,24.996,8.70301,9.68022,0.73436,,,,AS1063clu,342.180666,-44.5101691,[BHF2019] RXCJ2248   3122,342.1807,-44.5102,G,2.95,E,2021MNRAS.501.1028Y,0.14139762666926223,SIMBAD
5408,46,1.5939,1.5773,1.7723,1.6872,1.6067,1.785,4.54771,31.0,2,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1253.13,10,16380,,,,24.577,24.442,24.183,23.519,23.198,23.143,23.122,22.655,22.543,22.46,23.151,,,25.884,24.955,24.546,24.415,24.13,23.54,23.198,23.122,23.077,22.797,22.542,22.465,22.682,23.009,22.642,8.9121,9.85837,0.42186,,,,AS1063clu,342.1669392,-44.5112473,[BHF2019] RXCJ2248   3104,342.1669,-44.5112,G,1.43,E,2021MNRAS.501.1028Y,0.19779430257239236,SIMBAD
5431,77,2.0615,2.0514,2.0725,2.0659,2.0528,2.0817,55.7851,31.0,3,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,62728.3,10,16380,,,,23.6,23.205,22.363,21.29,20.859,20.639,20.438,19.352,18.77,18.718,19.618,20.035,,27.716,24.932,23.513,23.116,22.372,21.5,20.866,20.499,20.265,19.424,19.103,18.898,18.835,19.141,18.573,9.15592,11.09392,0.80506,,,,AS1063clu,342.1992297,-44.5133209,NAME CMC2020 R2248 MR p1 M1 Q4 59 1,342.1991817,-44.5133024,LeG,1.4267,C,2018A&A...613A..72G,0.1400682214329642,SIMBAD
5438,87,0.0,0.0,0.0121,0.0179,,0.0478,415.847,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.000193457,9,16376,,,,,29.712,26.786,26.373,26.365,26.447,26.476,27.27,,,,,,32.268,30.545,28.983,27.891,27.298,26.897,26.805,26.753,26.68,26.843,27.648,28.114,28.55,29.049,36.533,9.55115,4.65182,-8.87706,,,,AS1063clu,342.1715806,-44.5121408,[LBL2018] AS1063 cluster  8,342.1715824,-44.5121431,G?,5.577,E,2018ApJ...862..156L,0.009482147391804065,SIMBAD
5448,100,0.96389,0.9365,0.9929,0.9764,0.9374,1.0467,99.2226,21.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,200.155,10,16380,,,,24.101,23.568,22.719,22.334,22.046,21.953,21.939,20.961,20.59,21.051,21.718,21.539,,24.201,24.123,24.147,23.813,22.869,22.256,22.026,21.91,21.793,21.347,21.135,21.448,21.846,21.99,20.793,9.0266,9.91429,0.10771,,,,AS1063clu,342.1762321,-44.512699,[BHF2019] RXCJ2248   2887,342.17619999999994,-44.51270000000001,G,1.583,E,2021MNRAS.501.1028Y,0.08248386544357382,SIMBAD
5454,107,1.8305,1.5617,1.8834,1.7219,1.5606,1.8678,1.41302,33.0,3,0.3,,99.0,1.13,8.62051,33.0,0.3,0.0134302,,1000000000.0,1726.91,10,16380,,,,24.454,24.399,24.033,23.477,23.27,23.177,23.114,22.936,22.539,22.4,22.016,22.247,,25.923,24.894,24.441,24.399,24.015,23.569,23.255,23.191,23.166,22.889,22.576,22.507,22.73,22.949,22.3,8.8746,9.69993,0.36696,,,,AS1063clu,342.1946324,-44.5128058,NAME CMC2020 GLASS 00093-99-99,342.1945875,-44.51285277777779,LeG,1.4317,C,2020MNRAS.492..821C,0.20466427031289405,SIMBAD
5456,109,2.5444,2.1102,2.5888,2.5318,2.1491,2.6054,10.782,31.0,2,0.4,,99.0,2.14,11.1651,21.0,0.05,0.00376295,,1000000000.0,19850.1,10,16380,,,,24.284,23.783,23.482,22.979,22.407,22.128,21.925,21.32,20.522,20.142,20.598,20.828,,,26.693,24.56,23.784,23.49,22.951,22.436,22.077,21.83,21.273,20.669,20.525,20.368,20.591,20.574,9.09896,10.86374,0.77931,,,,AS1063clu,342.1938898,-44.5128706,[BHF2019] RXCJ2248   2986,342.1938,-44.5128,G,2.2,E,2021MNRAS.501.1028Y,0.34313386785344696,SIMBAD
5464,121,2.4927,2.4862,2.5009,2.4947,2.4839,2.5061,72.8739,33.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,178526.0,10,16380,,,,21.716,21.05,20.632,20.214,19.942,19.861,19.764,18.792,18.382,18.748,19.293,18.551,,35.324,23.62,21.748,21.039,20.645,20.365,19.997,19.718,19.527,18.827,18.535,18.384,18.268,18.547,18.154,9.05,12.19662,2.3,,,,AS1063clu,342.21158,-44.5136149,[WEC2019] 3,342.2113666666666,-44.513652777777786,G,0.211,D,2019ApJ...877....7W,0.5643692434468841,SIMBAD
5469,127,0.36659,0.3632,0.3713,0.3652,0.3539,0.3746,209.316,33.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1040.09,10,16380,,,,21.812,21.051,20.632,20.417,20.197,20.085,19.992,18.815,19.382,19.319,20.314,18.837,,22.375,22.135,21.872,21.067,20.598,20.391,20.194,20.09,20.018,19.81,20.301,20.107,20.774,20.357,19.112,9.36436,7.59373,-3.71461,,,,AS1063clu,342.1673168,-44.5139265,[DCL2021] RX J2248.7-4431 c,342.16724999999997,-44.51391944444444,G,0.3517,C,2014ApJ...792...45R,0.1733524334553717,SIMBAD
5472,130,0.0,0.0,0.012,0.0176,,0.0492,442.485,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,36845.3,9,16376,,,,,28.048,27.711,26.396,26.232,26.005,25.855,26.204,,,,,,27.397,27.333,26.622,26.458,26.543,26.512,26.565,26.576,26.567,26.773,27.581,28.022,28.48,29.033,31.292,8.73683,4.27536,-4.8562,,,,AS1063clu,342.1673787,-44.5127099,[IKO2018] HFF5C-4017-0457,342.167376,-44.512709,G,1.15,E,2018ApJ...854...73I,0.007651162172506616,SIMBAD
