main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[GVR2012] 275,342.168949,-44.577559,GiC,0.0525,D,2012AJ....144...79G
[GVR2012] 106,342.179331,-44.583541,GiC,0.348,D,2012AJ....144...79G
[GVR2012] 330,342.17243333333334,-44.572408333333335,G,0.3423,D,2012AJ....144...79G
[GVR2012] 389,342.16752083333336,-44.569527777777786,G,0.3375,D,2012AJ....144...79G
[GVR2012] 634,342.1500333333333,-44.565547222222214,G,0.3464,D,2012AJ....144...79G
[GVR2012] 907,342.13675,-44.557605555555554,G,0.3484,D,2012AJ....144...79G
[TSB2015] GLASS RXJ2248-01890,342.16619272,-44.55026509,G,0.47,D,2016ApJ...833..178V
[BHF2019] RXCJ2248    165,342.201924,-44.549906,LeG,5.93,E,2022MNRAS.514.1148Y
[WEC2019] 26,342.17999999999995,-44.566975,G,0.474,D,2019ApJ...877....7W
[WEC2019] 36,342.21148333333326,-44.56749166666667,G,0.969,E,2019ApJ...877....7W
[WEC2019] 41,342.15914999999995,-44.57729722222222,G,1.074,D,2019ApJ...877....7W
[WEC2019] 49,342.20226249999996,-44.557180555555554,G,2.566,E,2019ApJ...877....7W
[GVR2012] 497,342.175065,-44.558633,GiC,0.3459,D,2012AJ....144...79G
[KCG2015] 40,342.18441666666666,-44.53957222222222,G,0.652,D,2015A&A...574A..11K
[KCG2015] 21,342.171727,-44.54053,GiC,0.348,D,2015A&A...574A..11K
[KCC2017] NE-61,342.18564,-44.53124,G,0.349,D,2017A&A...599A..28K
[KCC2017] NE-16,342.18419,-44.5203,G,0.3386,D,2017A&A...599A..28K
[KCG2015] 39,342.1887,-44.53788333333333,G,0.611,D,2015A&A...574A..11K
[KCC2017] NE-65,342.18907,-44.52645,G,0.3498,D,2017A&A...599A..28K
[GVR2012] 637,342.204623,-44.521691,GiC,0.3567,D,2012AJ....144...79G
[GVR2012] 435,342.201961,-44.54025,GiC,0.364,C,2014ApJ...792...45R
[DBL2017] DES J2248-4431 (1),342.1955625,-44.52851666666666,LI?,1.11,E,2017ApJS..232...15D
[KCG2015] 26,342.1830708333333,-44.53306944444444,G,0.35,D,2015A&A...574A..11K
[KCG2015] 35,342.18080833333335,-44.54646666666666,G,0.153,D,2015A&A...574A..11K
[KCG2015] 41,342.17924583333337,-44.54219444444444,G,0.698,D,2015A&A...574A..11K
[KCG2015] 8,342.1869375,-44.53536388888889,G,0.338,D,2015A&A...574A..11K
[KCC2017] NE-13,342.19207,-44.52283,G,0.3368,D,2017A&A...599A..28K
[KCC2017] NE-10,342.18425827971,-44.52807285395001,G,0.333,D,2017A&A...599A..28K
[STB2016] GLASS RXJ2248 00404,342.2018794,-44.542663866,LeG,9.89,D,2016ApJ...818...38S
[KCC2017] NE-71,342.17891,-44.52472,G,0.3515,D,2017A&A...599A..28K
[KCC2017] NE-22,342.19589,-44.52368,G,0.34,D,2017A&A...599A..28K
NAME CMB2024 SPT-CL J2248-4431 BCG,342.1835625,-44.53077222222222,BiC,0.3482,C,2014ApJ...792...45R
[STB2016] GLASS RXJ2248 00207,342.18560157,-44.547224418,LeG,8.55,D,2016ApJ...818...38S
[KCC2017] NE-26,342.19326,-44.51782,GiC,0.3422,D,2017A&A...599A..28K
[GVR2012] 119,342.24481,-44.532991,GiC,0.3405,D,2012AJ....144...79G
[KCC2017] NE-62,342.188109,-44.529716,GiC,0.3493,D,2017A&A...599A..28K
[GVR2012] 2000,342.18250000000006,-44.5305,G,0.3482,D,2012AJ....144...79G
[KCC2017] NE-34,342.20017,-44.52722,G,0.3436,D,2017A&A...599A..28K
[KCC2017] NE-43,342.20122,-44.52067,G,0.3459,D,2017A&A...599A..28K
[KCC2017] NE-50,342.18569,-44.53051,G,0.3471,D,2017A&A...599A..28K
[KCC2017] NE-60,342.18669,-44.52061,G,0.3489,D,2017A&A...599A..28K
[KCC2017] NE-68,342.17961,-44.52858,G,0.351,D,2017A&A...599A..28K
[KCC2017] NE-44,342.19577,-44.52415,G,0.346,D,2017A&A...599A..28K
[GVR2012] 79,342.243508,-44.537658,GiC,0.3477,D,2012AJ....144...79G
[KCC2017] NE-77,342.17911,-44.52866,G,0.3533,D,2017A&A...599A..28K
[KIS2018] AS1063 44.1,342.198367,-44.53575800000001,LeI,2.976,C,2018ApJ...855....4K
[DBL2017] DES J2248-4431 (2),342.1946458333333,-44.527227777777775,LI?,1.14,E,2017ApJS..232...15D
[GVR2012] 194,342.22045833333334,-44.54206388888888,G,0.2977,D,2012AJ....144...79G
[KCC2017] NE-28,342.19421,-44.52209,G,0.3424,D,2017A&A...599A..28K
[DCL2021] RX J2248.7-4431 e,342.20363333333336,-44.54215277777777,G,0.35,D,2016ApJ...833..178V
[KIS2018] AS1063 44.2,342.192403,-44.525046999999994,LeI,2.976,C,2018ApJ...855....4K
[KIS2018] AS1063 57.2,342.18378,-44.521233,LeI,5.237,C,2018ApJ...855....4K
[KIS2018] AS1063 70.2,342.190991,-44.526777,LeI,3.713,C,2018ApJ...855....4K
[KCC2017] NE-48,342.19001,-44.5345,G,0.347,D,2017A&A...599A..28K
[KCG2015] 13,342.1894,-44.53689444444444,G,0.344,D,2015A&A...574A..11K
[RBB2014] J224850.03-443132.1,342.208454,-44.525619,GiC,0.3491,C,2014ApJ...792...45R
[GVR2012] 667,342.1799375,-44.544002777777784,G,0.714,D,2015A&A...574A..11K
[KCC2017] NE-59,342.19159,-44.53335,G,0.3486,D,2017A&A...599A..28K
[KCG2015] 72,342.17526,-44.53141,G,0.3398,D,2017A&A...599A..28K
[BVR2013] J224849.28-443055.8,342.2053289,-44.5154793,LeG,3.5457,C,2018A&A...613A..72G
[WEC2019] 4,342.2123375,-44.54329444444444,G,0.237,E,2019ApJ...877....7W
[BHF2019] RXCJ2248    400,342.1975,-44.5453,G,1.39,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248    490,342.2045,-44.5453,G,1.38,E,2021MNRAS.501.1028Y
NAME CMC2020 MUSE SW 461-99-99,342.1758,-44.532523,LeG,1.4283,C,2018A&A...613A..72G
[BHF2019] RXCJ2248   1249,342.17597,-44.53615,LeG,1.035,D,2015A&A...574A..11K
