IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,0.0,0.0,0.0012,,,,1000000000.0,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.94575e-15,8,4092,,,,21.426,21.104,20.742,20.468,20.197,20.098,19.962,21.141,21.054,21.22,,,,24.382,23.131,21.728,21.042,20.689,20.45,20.399,20.367,20.32,20.575,21.345,21.765,22.087,22.408,inf,8.73139,9.84733,0.88339,,,,M0416clu,64.0231692,-24.0816294
2,0.0,0.0,3.7829,3.7828,1.1521,6.6199,2.94256,33.0,0,0.0,,99.0,2.6,2.31815,33.0,0.0,0.313776,,1000000000.0,37.7558,8,4092,,,,25.402,25.243,24.854,22.805,22.805,22.808,23.006,29.304,,,,,,,,29.111,27.185,27.084,27.259,27.403,27.497,27.598,27.438,27.676,27.713,27.788,27.895,29.192,8.99028,7.846,-1.98841,,,,M0416clu,64.0457182,-24.0987402
3,0.0,0.0,0.1622,0.6733,0.1735,4.5471,2.30794,1.0,0,0.0,1139000000.0,99.0,0.68,2.29879,1.0,0.0,0.316829,,1000000000.0,49417100.0,8,4092,,,,29.987,28.335,27.346,27.269,26.957,26.827,26.808,27.494,24.108,24.981,,,,29.463,29.309,29.239,28.309,27.404,27.179,27.11,27.067,27.023,27.011,27.137,27.516,27.901,28.419,30.358,9.15895,7.31022,-3.15954,,,,M0416clu,64.0437859,-24.0980619
4,0.0,0.0,8.0,3.855,1.2008,6.6508,64.399,33.0,0,0.0,,99.0,2.6,64.399,33.0,0.0,1.03738e-14,,1000000000.0,111.618,8,4092,,,,-0.928,-1.726,-1.677,-0.989,-1.078,-2.066,-2.467,26.297,,,,,,,,28.367,26.097,25.929,26.105,26.247,26.341,26.44,26.297,26.251,26.572,26.641,26.743,28.066,8.99548,8.82432,-1.08165,,,,M0416clu,64.0281219,-24.0512415
5,0.0,0.0,8.0,3.855,1.2008,6.6508,181.05,33.0,0,0.0,,99.0,2.6,181.05,33.0,0.0,4.84694e-40,,1000000000.0,107.588,8,4092,,,,-1.496,-2.013,-2.754,-2.602,-2.69,-2.898,-2.944,26.337,,,,,,,,28.407,26.136,25.969,26.145,26.287,26.381,26.479,26.337,26.291,26.612,26.681,26.782,28.106,8.99548,8.80835,-1.09773,,,,M0416clu,64.0279016,-24.0514561
6,0.0,0.0,8.0,3.855,1.2008,6.6508,54.1401,33.0,0,0.0,,99.0,2.86,54.1401,33.0,0.0,1.75235e-12,,1000000000.0,41.3405,8,4092,,,,-0.7,-5.76,-6.624,-6.551,-6.85,-7.169,-7.482,27.375,,,,,,,,29.445,27.178,27.007,27.183,27.325,27.42,27.518,27.375,27.373,27.65,27.72,27.821,29.145,8.99548,8.39319,-1.51342,,,,M0416clu,64.0300828,-24.0515366
7,0.39842,0.0442,0.5163,0.2724,0.1228,0.4242,0.858925,29.0,1,0.1,,99.0,0.07,0.787826,1.0,0.0,0.674413,,1000000000.0,1.90193,8,4092,,,,26.129,25.415,25.181,25.136,25.054,25.021,25.0,25.145,,,,,,26.402,26.398,26.16,25.405,25.178,25.114,25.045,25.05,25.063,25.005,25.689,25.82,26.304,25.853,24.886,8.84814,7.40412,-1.80877,,,,M0416clu,64.0282753,-24.0525064
8,0.0,0.0,8.0,,,,1000000000.0,,-100,-99.9,-99.9,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.90193,8,4092,,,,-3.537,-6.059,-6.77,-7.273,-7.747,-7.909,-8.218,,24.342,,,,,,,,,,,,,,,,,,,,,,,,,,M0416clu,64.0304219,-24.0520388
9,1.5559,1.1351,2.2247,1.6358,1.038,2.2154,1.62089,29.0,0,0.0,,99.0,1.97,1.00279,29.0,0.0,0.605687,,1000000000.0,11.8832,8,4092,,,,27.351,27.598,27.63,27.413,26.889,26.77,26.756,27.255,,,,,,27.7,27.42,27.407,27.519,27.585,27.076,26.857,26.854,26.865,26.829,26.892,26.898,27.193,27.617,27.424,8.73961,8.21466,-0.81465,,,,M0416clu,64.0295536,-24.0524695
10,0.0,0.0,8.0,3.855,1.2008,6.6508,18.0661,33.0,0,0.0,,99.0,2.87,18.0661,33.0,0.0,0.000119395,,1000000000.0,142.264,8,4092,,,,,-3.567,-4.88,-5.185,-5.329,-5.985,-6.228,26.033,22.407,22.793,,,,,,28.103,25.833,25.666,25.842,25.984,26.078,26.176,26.033,25.988,26.308,26.378,26.479,27.803,8.99548,8.93001,-0.97652,,,,M0416clu,64.0312438,-24.0516263
