catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
7649,1,0.0,0.0,0.0012,,,,1000000000.0,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.94995e-15,10,4092,,,,21.426,21.104,20.742,20.468,20.197,20.098,19.962,21.141,21.054,21.22,,,,24.379,23.129,21.726,21.04,20.687,20.448,20.397,20.364,20.318,20.573,21.343,21.762,22.084,22.406,inf,8.7234,9.83679,0.88917,,,,M0416clu,64.0231692,-24.0816294,CLASHVLT J041605.60-240453.7,64.023329,-24.081581,LeG,2.2181,C,2014MNRAS.443.1549J,0.5533586432993374,SIMBAD
7650,2,0.29904,0.0112,0.5393,0.781,0.2467,4.1721,328.313,9.0,0,0.0,,99.0,8.0,327.501,33.0,0.0,7.657e-72,,1000000000.0,0.044388,10,4092,,,,25.402,25.243,24.854,22.805,22.805,22.808,23.006,29.304,,,,,,37.115,36.596,35.146,32.722,30.899,30.059,29.743,29.551,29.366,29.041,29.019,29.494,29.784,30.323,32.113,9.40045,7.10685,-4.88501,,,,M0416clu,64.0457182,-24.0987402,[MAC2016] M0416cl  20012,64.04586,-24.098822,G,0.99,E,2016A&A...590A..30M,0.5512379794098776,SIMBAD
7651,3,5.2456,5.019,5.692,5.439,4.7894,6.4427,18.1065,23.0,0,0.0,,99.0,6.05,19.5783,22.0,0.0,5.60555e-05,,1000000000.0,237.079,10,4092,,,,29.987,28.335,27.346,27.269,26.957,26.827,26.808,27.494,24.108,24.981,,,,,,,30.104,27.47,27.003,26.968,26.98,27.012,26.667,25.299,25.021,24.83,24.655,25.526,8.90357,9.56876,0.21194,,,,M0416clu,64.0437859,-24.0980619,[MAC2016] M0416cl      5,64.043785,-24.098063,G,5.1635,E,2016A&A...590A..30M,0.004942586395042519,SIMBAD
7652,4,0.0,0.0,0.0689,0.0936,0.0278,0.212,116.647,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0358245,10,4092,,,,-0.928,-1.726,-1.677,-0.989,-1.078,-2.066,-2.467,26.297,,,,,,27.757,27.635,26.975,26.552,26.381,26.27,26.262,26.253,26.232,26.297,27.112,27.478,27.668,26.269,28.107,9.2763,5.955,-5.23264,,,,M0416clu,64.0281219,-24.0512415,[MAC2016] M0416cl   2504,64.028137,-24.051245,G,0.198,E,2016A&A...590A..30M,0.051214674456195965,SIMBAD
7653,5,0.0,0.0,0.0437,0.0833,0.0249,0.1976,249.921,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0273694,10,4092,,,,-1.496,-2.013,-2.754,-2.602,-2.69,-2.898,-2.944,26.337,,,,,,27.79,27.659,26.977,26.57,26.412,26.3,26.294,26.283,26.261,26.337,27.158,27.527,27.683,26.28,28.364,9.27219,5.83455,-5.31714,,,,M0416clu,64.0279016,-24.0514561,[MAC2016] M0416cl   2503,64.027901,-24.05147,G,0.595,E,2016A&A...590A..30M,0.050078860105050096,SIMBAD
7655,7,0.0,0.0,0.0063,0.0325,,0.0828,204.112,1.0,0,0.0,640500000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,261484.0,10,4092,,,,26.129,25.415,25.181,25.136,25.054,25.021,25.0,25.145,,,,,,26.551,26.422,25.623,25.403,25.436,25.39,25.434,25.442,25.431,25.598,26.399,26.81,27.276,27.824,30.07,8.79648,5.37885,-3.78793,,,,M0416clu,64.0282753,-24.0525064,[MAC2016] M0416cl   2493,64.028275,-24.052504,G,0.39,D,2017ApJ...835..254M,0.008696104989766302,SIMBAD
7656,8,4.7182,4.6756,4.8043,4.7559,4.6929,4.8881,508.732,33.0,3,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,2604.87,10,4092,,,,-3.537,-6.059,-6.77,-7.273,-7.747,-7.909,-8.218,,24.342,,,,,,,,29.493,27.078,26.766,26.84,26.566,26.264,25.485,24.342,24.569,24.283,24.074,24.922,9.56524,9.01634,-4.5865,,,,M0416clu,64.0304219,-24.0520388,[MAC2016] M0416cl  23143,64.030426,-24.052036,G,1.2841,E,2016A&A...590A..30M,0.016830794201263592,SIMBAD
7657,9,0.0,0.0,0.0214,0.0285,,0.0772,275.284,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,44019.5,10,4092,,,,27.351,27.598,27.63,27.413,26.889,26.77,26.756,27.255,,,,,,28.092,28.028,27.342,27.22,27.237,27.203,27.255,27.269,27.263,27.453,28.259,28.695,29.158,29.708,31.963,8.77318,4.28539,-4.90293,,,,M0416clu,64.0295536,-24.0524695,[MAC2016] M0416cl   2498,64.029556,-24.052469,G,1.83,E,2016A&A...590A..30M,0.008092534950847429,SIMBAD
7658,10,6.8671,4.9196,7.2418,6.3129,5.4465,7.1203,24.7548,6.0,0,0.0,,99.0,5.24,24.537,18.0,0.5,4.69737e-06,,1000000000.0,1840.38,10,4092,,,,,-3.567,-4.88,-5.185,-5.329,-5.985,-6.228,26.033,22.407,22.793,,,,,,,40.293,34.059,31.608,29.746,28.646,27.925,25.814,23.133,22.6,22.255,21.892,22.611,8.93256,10.20089,0.72134,,,,M0416clu,64.0312438,-24.0516263,[MAC2016] M0416cl   2500,64.031281,-24.051508,G,4.539,E,2016A&A...590A..30M,0.4430906635670857,SIMBAD
7659,11,2.0177,1.7894,2.0592,2.1551,1.7944,2.5672,4.46454,33.0,1,0.2,,99.0,2.54,3.66923,33.0,0.2,0.159675,,1000000000.0,397.842,10,4092,,,,25.634,25.438,25.328,25.116,24.939,24.815,24.702,24.618,24.149,24.013,,,,29.073,26.241,25.568,25.422,25.358,25.283,25.005,24.846,24.782,24.513,24.513,24.469,24.537,24.982,24.24,8.72567,9.31603,0.31835,,,,M0416clu,64.0333526,-24.0526614,[MAC2016] M0416cl   2490,64.033356,-24.052662,G,0.38,D,2017ApJ...835..254M,0.011384013112719344,SIMBAD
7660,12,2.1207,0.4877,8.0,1.9195,0.998,3.4901,1306.37,30.0,1,0.05,,99.0,2.51,1306.37,33.0,0.15,2.1144399999999998e-284,,1000000000.0,1623.4,10,4092,,,,-6.015,-6.283,-6.469,-6.725,-7.119,-7.312,-7.42,22.082,22.059,22.051,,,,24.24,22.941,22.713,22.755,22.826,22.529,22.192,22.085,22.048,22.082,22.059,22.05,22.208,22.706,22.126,8.90065,10.24226,0.81629,,,,M0416clu,64.033602,-24.052754,CLASHVLT J041608.1-240309,64.033646,-24.052715,G,2.1372,D,2017A&A...600A..90C,0.2015804927925247,SIMBAD
7661,13,1.9852,1.8795,2.0124,1.8936,1.2761,2.5541,3.72093,33.0,1,0.25,,99.0,1.18,5.01517,33.0,0.25,0.0814646,,1000000000.0,503.802,10,4092,,,,25.664,25.302,25.098,24.852,24.582,24.399,24.289,24.336,24.025,23.918,,,,27.495,26.021,25.517,25.318,25.203,24.85,24.64,24.432,24.333,24.316,24.053,23.983,24.15,24.584,23.632,8.80874,9.34554,0.16793,,,,M0416clu,64.0332859,-24.0528825,[MAC2016] M0416cl   2481,64.033287,-24.052883,G,0.39,D,2017ApJ...835..254M,0.0040393754896656964,SIMBAD
7662,14,0.0,0.0,0.1541,0.0878,0.0234,0.2045,24.2693,1.0,0,0.0,508800000.0,99.0,0.57,25.9319,33.0,0.0,2.33863e-06,,1000000000.0,797840.0,9,4088,,,,,27.013,26.182,26.135,25.472,25.271,24.926,25.633,27.353,,,,,27.363,27.312,26.718,26.493,26.421,26.47,26.509,26.535,26.543,26.655,27.452,27.851,28.347,28.873,31.112,8.88919,5.76448,-3.85585,,,,M0416clu,64.0271325,-24.0518095,[MAC2016] M0416cl   2502,64.027122,-24.051805,G,0.05,E,2016A&A...590A..30M,0.03813055709921327,SIMBAD
