IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
2407,0.50761,0.475,0.5399,0.5245,0.4788,0.5725,5.19279,24.0,0,0.1,,99.0,-99.9,1000000000.0,,,,,1000000000.0,644.744,12,16383,,22.443,22.094,21.765,20.725,19.925,19.818,19.342,19.428,19.104,19.311,19.359,19.753,21.566,21.644,,22.224,22.017,21.714,20.734,19.981,19.687,19.565,19.47,19.397,19.255,19.591,19.898,20.244,20.517,19.352,9.0869,10.32223,0.2807,,,,M0717clu,109.3733292,37.7328028,-58.651895256396585,-41.9507999999837,72.11043223976645,pagul21_photoz_f160w_radius,1.824795824658882,False
585,0.49154,0.472,0.5143,0.496,0.4712,0.5269,33.8389,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,825.787,12,16383,,25.051,24.784,23.697,21.831,20.625,20.108,19.814,19.634,19.494,18.557,18.677,19.093,20.284,20.634,,25.916,24.832,23.586,21.905,20.645,20.07,19.755,19.512,19.302,18.801,19.009,19.239,19.527,19.708,18.593,9.5615,10.58877,-2.94603,,,,M0717clu,109.3739609,37.7568605,-56.8536375703989,44.65692000001695,72.29506628307486,pagul21_photoz_f160w_radius,1.9274692927691621,False
512,0.43481,0.4173,0.452,0.4423,0.4197,0.4838,30.8299,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,561.058,12,16383,,27.502,24.987,23.596,21.782,20.73,20.306,20.066,19.921,19.797,19.006,19.172,19.561,20.304,28.383,,25.772,24.728,23.509,21.828,20.755,20.275,19.998,19.801,19.632,19.203,19.546,19.779,20.124,20.037,19.09,9.50588,10.27655,-2.53338,,,,M0717clu,109.3690068,37.757736,-70.95645283431897,47.80872000001466,85.55987322845175,pagul21_photoz_f160w_radius,2.5225125242817255,False
854,0.60524,0.5749,0.6405,0.6052,0.5746,0.6363,87.2153,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1011.45,12,16383,,25.37,26.32,24.564,22.308,20.981,20.446,20.138,19.97,19.816,18.645,18.836,19.226,20.312,20.982,,26.574,25.426,24.189,22.537,21.073,20.429,20.138,19.893,19.665,19.095,19.065,19.434,19.644,20.062,18.847,9.56191,10.64662,-2.91057,,,,M0717clu,109.3753981,37.751107,-52.76236648236014,23.944320000001085,57.94133047386238,pagul21_photoz_f160w_radius,1.5530339324620792,False
412,0.48834,0.472,0.5084,0.4877,0.4643,0.5091,35.5167,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,580.139,12,16383,,25.642,25.066,24.16,22.145,20.947,20.438,20.122,19.968,19.825,18.912,19.035,19.445,20.278,21.142,,26.218,25.136,23.893,22.207,20.966,20.397,20.078,19.835,19.628,19.131,19.361,19.581,19.879,20.007,18.924,9.56635,10.45915,-3.1081,,,,M0717clu,109.3720683,37.7592389,-62.241293889111205,53.21916000000897,81.89174351604237,pagul21_photoz_f160w_radius,2.3826515338680787,False
559,0.53413,0.5189,0.5613,0.5406,0.5213,0.5638,108.532,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,866.864,12,16383,,26.011,25.707,24.349,22.051,20.893,20.394,20.109,19.947,19.827,18.751,18.904,19.278,20.405,20.618,,26.118,25.04,23.809,22.17,20.916,20.386,20.112,19.907,19.726,19.255,19.417,19.694,19.985,20.316,19.129,9.56915,10.40703,-3.19989,,,,M0717clu,109.3940615,37.752858,0.36665440870680693,30.247920000022077,30.250142144842226,pagul21_photoz_f160w_radius,0.6697828214947416,False
2538,0.59595,0.5745,0.617,0.6039,0.5734,0.639,79.3771,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1087.87,12,16383,,,25.042,24.044,22.271,20.985,20.463,20.176,19.991,19.846,18.735,18.904,19.286,20.119,20.67,,26.34,25.234,24.0,22.376,21.014,20.452,20.174,19.966,19.778,19.277,19.315,19.652,19.922,20.334,19.128,9.55928,10.49826,-3.04012,,,,M0717clu,109.3951534,37.7315779,3.474961464788961,-46.36043999999799,46.490491008110276,pagul21_photoz_f160w_radius,1.204093283603676,False
2018,0.56091,0.5261,0.586,0.5757,0.5369,0.6284,102.222,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,740.139,12,16383,,24.874,25.206,24.67,22.416,21.161,20.616,20.325,20.138,19.99,18.803,18.95,19.337,20.418,20.9,,26.678,25.547,24.315,22.651,21.237,20.611,20.324,20.08,19.851,19.305,19.333,19.668,19.893,20.287,19.089,9.55689,10.50073,-3.0073,,,,M0717clu,109.3942835,37.7357878,0.9986208584147024,-31.204800000000432,31.220774920858194,pagul21_photoz_f160w_radius,0.7451322473619394,False
1688,0.4893,0.4722,0.556,0.516,0.4826,0.5497,179.061,32.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1831.72,12,16383,,22.862,22.572,22.286,21.47,20.857,20.495,20.297,20.141,20.001,18.916,19.02,19.277,19.884,19.661,,22.822,22.537,22.231,21.482,20.853,20.438,20.305,20.167,20.057,19.836,20.091,20.221,20.376,20.659,19.164,9.05,10.10486,0.22862,,,,M0717clu,109.3647497,37.7448464,-83.07512118171046,1.406160000010459,83.08702091964489,pagul21_photoz_f160w_radius,2.5372376139881636,False
2220,0.48715,0.4696,0.5069,0.4875,0.4646,0.5099,164.115,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,609.947,12,16383,,25.673,24.611,23.837,22.11,21.057,20.588,20.324,20.166,20.018,18.645,18.707,19.003,20.105,20.072,,25.997,24.943,23.757,22.169,21.061,20.586,20.321,20.126,19.959,19.525,19.787,20.026,20.361,20.49,19.407,9.48102,10.17733,-2.32615,,,,M0717clu,109.3736536,37.7357132,-57.72842716500501,-31.473359999992567,65.75061743158327,pagul21_photoz_f160w_radius,1.954436997719443,False
