candidate_family_id,n_images,median_simbad_zspec,max_pair_color_rms,max_pair_separation_arcsec,median_reliability,min_reliability,simbad_system_hint,method,specz_tol,color_rms_max,max_separation_arcsec,reliability_floor,reliability_ceil,min_common_colors,require_simbad_system_hint
900001,3,1.118,0.2306249661246588,82.15168346978557,0.8560633764837868,0.7451670451491513,222501,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900002,3,1.4804,0.2158755428481884,72.8837489534815,0.7616385483557137,0.7229569596512515,222427,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900003,2,1.0217,0.12152674602736681,114.1419324338636,0.8167533269724836,0.8110914913864411,222515,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900004,3,0.9376,0.24038276768520664,95.06236092090052,0.8516182906376039,0.7218843312436204,222353,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900005,3,1.23,0.14906206760943672,19.184481336490652,0.9549098399132593,0.8632393053248741,222352,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900006,2,1.096,0.16426579071736186,93.17461739092221,0.8783538396294472,0.8671781035813054,222404,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900007,2,3.04,0.23036833859836633,0.8665472568455386,0.8863430911644614,0.8863430911627104,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900008,2,0.8681,0.15478372007417307,110.37210914678894,0.8256718019648612,0.8210231638936288,222449,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900009,2,0.67,0.19905778055629864,99.35852624367465,0.8476152331811786,0.8385882723399855,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900010,2,1.78935,0.17665573865572504,28.19821658629663,0.9104175840488906,0.9104175271437698,222446,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900011,2,1.13775,0.18774683752329996,72.30362041022734,0.8441374129221162,0.8441373295196175,222445,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900012,6,0.9611000000000001,0.24998724967485725,100.15539011231017,0.5854796315849928,0.46594022968388865,222338,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900013,4,1.24985,0.2050938809423637,73.35000996230706,0.8701486401205137,0.7033250631551194,222400,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900014,2,0.985,0.1521705457701985,92.94476841852095,0.8463858945213993,0.8463847447830941,222441,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900015,2,0.66,0.19744923398180086,19.2822564067326,0.9201898440835425,0.9074687278565219,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900016,2,1.8927,0.11657079394084863,2.225299452431453,0.9550263872016733,0.9550263871691975,222334,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900017,2,3.0220000000000002,0.0681835757349247,90.46004712665405,0.8427578294727066,0.8422299827728124,201,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900018,2,1.08565,0.23773777571097113,20.000655315629764,0.8776775418979672,0.8776775208549531,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900019,3,1.4889,0.20543952881565913,92.28360024438666,0.05,0.05,222408,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900020,2,5.8,0.09652564426099487,37.5152803766889,0.9531487577109563,0.9517462900623788,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900021,2,1.67795,0.23571407467523087,60.270386061580396,0.7913553383943708,0.7913553370149885,222422,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900022,2,0.8617,0.1844674768082436,0.44711267457621695,0.918811643422847,0.9188116434226118,222420,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900023,2,0.9449,0.16498219600914532,15.20899679528318,0.8547554204568255,0.854755418223978,222314,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
