candidate_family_id,image_number,catalog_index,id,ra,dec,catalog_z,simbad_zspec,simbad_main_id,simbad_system_hint,simbad_match_sep_arcsec,delta_z_from_family_median,color_rms_from_family_median,centroid_radius_arcsec,family_reliability
900001,1,69,180,177.410691,22.4170677,1.0482,1.1194,CLASHVLT J114938.57+222501.4,222501,0.02400277294278012,0.0013999999999998458,0.14443986638044182,49.45672049200709,0.7451670451491513
900001,2,516,1510,177.4082571,22.3988108,1.2106,1.118,CLASHVLT J114937.98+222355.7,222355,0.032628933086313414,0.0,0.09817586261398525,16.771328360440663,0.9026166288620265
900001,3,645,1874,177.4080159,22.3943822,1.1001,1.1157,CLASHVLT J114937.93+222339.8,222339,0.020515188245454268,0.0023000000000001908,0.0035355339059320342,32.697397705796476,0.8560633764837868
900002,1,261,820,177.4069234,22.4075102,1.6502,1.48,CLASHVLT J114937.66+222427.0,222427,0.040588335415171845,0.00039999999999995595,0.17300903155615927,26.809976887060056,0.7616385483557137
900002,2,517,1512,177.4107585,22.4068236,1.0884,1.4817,CLASHVLT J114938.58+222424.5,222424,0.01388829346301804,0.0013000000000000789,0.18514318783039196,21.11400700259611,0.7229569596512515
900002,3,1234,3562,177.4145781,22.388542,1.7616,1.4804,CLASHVLT J114939.50+222318.7,222318,0.04632317315698482,0.0,0.045135905884340945,46.477299201975406,0.898849368165252
900003,1,19,51,177.3959769,22.4210167,0.8533,1.0234,CLASHVLT J114935.04+222515.6,222515,0.009725695173439483,0.0017000000000000348,0.060763373013683404,57.07094792132258,0.8110914913864411
900003,2,806,2239,177.3985518,22.3894001,0.9985,1.02,CLASHVLT J114935.65+222321.8,222321,0.042497604959759266,0.0017000000000000348,0.0429661931057432,57.07098451669637,0.8224151625585261
900004,1,531,1551,177.4201781,22.3980659,0.9697,0.9367,CLASHVLT J114940.84+222353.0,222353,0.02691766610055155,0.0009000000000000119,0.1836498026135609,33.54869793412902,0.7218843312436204
900004,2,557,1644,177.4189894,22.3969243,0.9963,0.9376,CLASHVLT J114940.56+222348.9,222348,0.024974271667706483,0.0,0.12317213564763833,27.97881173963085,0.8516182906376039
900004,3,953,2678,177.3965093,22.3832888,1.0283,0.9376,CLASHVLT J114935.16+222259.8,222259,0.025663393026976455,0.0,0.028385735854475132,61.51733908167569,0.8602447790564053
900005,1,544,1582,177.4037428,22.3979943,1.3302,1.23,CLASHVLT J114936.89+222352.1,222352,0.7071636711018308,0.0,0.03015791770000096,6.60139673230439,0.9718619153516397
900005,2,545,1584,177.4037073,22.3977986,1.3753,1.23,CLASHVLT J114936.89+222352.1,222352,0.042295434309889066,0.0,0.05712267500739167,5.98864160599617,0.9549098399132593
900005,3,668,1934,177.4000483,22.393904,1.4322,1.23,CLASHVLT J114936.01+222338.0,222338,0.14770842322019823,0.0,0.1268167969947205,12.58475811649697,0.8632393053248741
900006,1,453,1324,177.4049967,22.4011534,0.9989,1.096,CLASHVLT J114937.20+222404.8,222404,0.6333582781206021,0.0,0.058076727266608404,46.58709422180625,0.8895295756775891
