IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
3,0.70683,0.6658,0.7526,0.6902,0.6231,0.7488,7.75422,1.0,0,0.0,806400000.0,99.0,0.14,12.1101,33.0,0.4,0.00234601,,1000000000.0,757552000.0,10,4092,,,,25.434,24.815,24.027,,23.451,41.725,23.46,24.052,23.625,23.935,,,,25.4,25.347,25.379,24.806,24.059,23.92,23.879,23.902,23.866,23.895,24.03,24.418,24.795,25.329,27.293,8.89614,8.64566,-0.74299,,,,M1149clu,177.4107531,22.4271237,[MAT2017] MACS1149CLS  177,177.4107625,22.4271081,G,0.57,D,2017ApJ...835..254M,0.06428388013119488,SIMBAD,False
4,3.2218,0.0176,3.5672,3.0016,0.3278,3.3909,0.0162481,31.0,1,0.25,,99.0,0.3,0.0368278,1.0,0.0,0.981755,,1000000000.0,224.766,6,3836,,,,28.753,27.609,27.329,27.489,26.968,63.456,,,,,,,,,35.206,28.735,27.611,27.328,27.171,27.054,26.764,26.451,26.025,25.646,25.537,25.459,25.539,26.163,9.01738,8.91985,-0.35067,,,,M1149clu,177.4115729,22.3681497,,,,,,,,,,False
5,0.0,0.0,0.0069,0.0112,,0.029,42.2931,1.0,0,0.0,4500000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,352233.0,10,4092,,,,26.323,24.973,24.28,39.913,23.9,40.282,23.904,24.373,25.93,26.555,,,,28.889,27.289,25.889,25.038,24.558,24.322,24.27,24.218,24.149,24.328,25.128,25.578,26.021,26.575,28.829,9.51908,5.07166,-8.1894,,,,M1149clu,177.4089138,22.4267045,[MAT2017] MACS1149CLS  204,177.4089169,22.426703,G,0.54,D,2017ApJ...835..254M,0.011643832561916242,SIMBAD,False
8,6.0898,1.8241,6.2587,6.248,1.9417,6.5767,5.66656,26.0,0,0.2,,99.0,6.42,5.50995,26.0,0.15,0.0636107,,1000000000.0,51975.9,9,4060,,,,28.586,27.448,25.862,,23.194,40.917,22.513,22.118,20.644,20.428,,,,,,,32.88,26.11,23.693,23.189,22.947,22.758,22.143,20.596,20.325,20.141,19.872,20.499,9.45911,10.8579,-1.3667,,,,M1149clu,177.4126473,22.4256816,,,,,,,,,,False
9,0.38097,0.2543,0.4684,0.2508,0.0486,0.4689,4.70781,33.0,2,0.2,,99.0,0.03,5.31149,26.0,0.15,0.0702465,,1000000000.0,4.21907,10,4092,,,,25.456,25.145,25.053,43.078,24.448,41.978,24.143,24.406,25.495,24.867,,,,25.767,25.647,25.532,25.122,24.922,24.903,24.818,24.797,24.782,24.764,25.454,25.355,25.938,25.204,24.378,8.9312,6.66222,-2.85906,,,,M1149clu,177.4082727,22.4261191,,,,,,,,,,False
11,0.0,0.0,8.0,,,,1000000000.0,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.06988e-16,9,4060,,,,25.414,25.334,25.288,,24.399,41.474,23.985,,,,,,,25.377,25.585,25.362,25.281,25.646,25.685,25.741,25.763,25.781,26.177,26.533,27.169,26.648,25.818,inf,,,,,,,M1149clu,177.4071108,22.4262703,,,,,,,,,,False
12,1.3819,1.1144,2.0145,1.4985,1.1969,1.97,1.91555,33.0,2,0.2,,99.0,1.97,2.13345,33.0,0.2,0.344134,,1000000000.0,189.152,9,4060,,,,25.573,25.53,25.272,,24.46,39.925,24.477,24.863,24.409,24.585,,,,26.182,25.647,25.54,25.521,25.367,24.956,24.776,24.775,24.453,24.701,24.558,24.615,24.962,25.104,24.892,8.72308,8.90622,-0.08703,,,,M1149clu,177.4099644,22.425428,,,,,,,,,,False
14,1.9744,1.4932,2.0097,1.6416,1.3992,1.8867,5.43513,33.0,3,0.25,,99.0,1.56,5.08491,33.0,0.25,0.0786732,,1000000000.0,1153.95,10,4092,,,,24.345,24.262,23.986,38.287,22.976,37.387,22.882,23.089,22.648,22.583,,,,25.332,24.524,24.262,24.268,23.996,23.516,23.229,23.21,23.292,23.082,22.847,22.824,23.099,23.291,22.858,8.84081,9.60203,0.34881,,,,M1149clu,177.407425,22.4251773,,,,,,,,,,False
15,0.62271,0.5101,0.6863,0.6268,0.4505,4.3903,2.87942,1.0,0,0.0,1278000000.0,99.0,4.4,5.54269,31.0,0.05,0.0625779,,1000000000.0,464821000.0,9,3964,,,,27.583,25.832,24.844,40.945,24.274,,24.076,24.469,24.473,24.705,,,,27.362,27.157,26.988,25.856,24.913,24.643,24.55,24.481,24.423,24.365,24.479,24.855,25.223,25.732,27.662,9.14383,8.34384,-1.95915,,,,M1149clu,177.4133965,22.4250641,[MAT2017] MACS1149CLS  275,177.413398,22.4250665,G,0.54,D,2017ApJ...835..254M,0.009978283842948753,SIMBAD,False
16,0.91021,0.8788,0.9447,0.9128,0.8601,0.9608,5.89565,31.0,2,0.3,,99.0,-99.9,1000000000.0,,,,,1000000000.0,852.446,10,4092,,,,24.021,23.591,22.708,40.732,22.233,36.796,22.188,21.816,21.429,21.829,,,,24.328,24.076,23.989,23.581,22.733,22.409,22.166,22.078,22.044,21.793,21.691,21.995,22.136,22.6,21.386,8.99797,9.86052,0.16296,,,,M1149clu,177.4087573,22.4246454,CLASHVLT J114938.10+222528.7,177.408759,22.424644,G,0.8555,D,2016ApJ...817...60T,0.007576656033209458,SIMBAD,True
