IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,3.875,2.9619,4.6755,3.8058,3.0469,4.4369,4.17412,29.0,1,0.2,,99.0,4.35,3.76958,23.0,0.0,0.151861,,1000000000.0,578.938,10,4092,,,,27.667,27.387,26.561,26.367,26.336,26.394,26.352,25.542,24.378,24.706,,,,,,30.16,27.348,26.722,26.555,26.466,26.36,26.251,25.222,24.736,24.564,24.506,24.419,25.612,8.96645,9.75088,0.17877,,,,M1149clu,177.405474,22.2796017
3,0.95925,0.8156,1.039,0.8914,0.7526,1.0006,2.79315,30.0,2,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,429.866,8,3900,,,,25.636,24.855,23.772,36.489,,,22.785,22.54,22.07,22.419,,,,26.283,25.906,25.708,24.92,23.807,23.322,22.9,22.79,22.79,22.443,22.22,22.495,22.588,23.099,21.857,9.11927,9.61901,-0.52801,,,,M1149clu,177.4325053,22.319865
4,4.5659,4.1183,5.1555,4.2375,1.1055,4.9447,1.01115,33.0,3,0.3,,99.0,4.93,0.768006,27.0,0.0,0.681129,,1000000000.0,375.078,9,4088,,,,,29.046,27.45,42.524,38.402,40.222,27.303,26.969,26.013,26.367,,,,,,36.659,28.928,27.793,27.781,27.656,27.449,27.327,26.745,26.036,26.122,25.959,25.84,26.911,8.89725,9.15343,-0.14699,,,,M1149clu,177.4337241,22.3207171
5,2.9198,2.8696,2.9564,2.9822,2.9081,3.163,4.95624,32.0,1,0.15,,99.0,3.25,8.28938,30.0,0.05,0.0158483,,1000000000.0,2329.89,9,4060,,,,24.697,23.885,23.751,,35.532,35.32,23.474,23.353,22.797,22.792,,,,,30.433,24.687,23.889,23.787,23.778,23.77,23.629,23.405,23.172,22.976,22.927,22.898,23.067,23.496,8.70037,10.10179,1.16233,,,,M1149clu,177.430741,22.3197652
6,0.46085,0.0619,0.5833,0.3215,0.1101,0.5846,1.34647,29.0,3,0.1,,99.0,0.02,1.56999,3.0,0.0,0.456122,,1000000000.0,5.04837,9,4028,,,,25.6,24.767,24.463,36.469,,34.26,23.843,24.445,24.577,24.731,,,,25.819,25.761,25.599,24.754,24.499,24.459,24.377,24.37,24.385,24.323,24.966,25.084,25.592,25.259,24.136,8.89515,7.74147,-1.58668,,,,M1149clu,177.430557,22.3199637
7,0.36896,0.3333,0.4114,0.3606,0.2503,0.4115,1.18458,28.0,3,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,247.368,9,4060,,,,24.349,22.855,22.081,,21.137,21.168,21.075,20.581,20.93,21.022,,,,25.774,25.212,24.344,22.868,22.047,21.513,21.198,21.057,20.957,20.624,20.912,21.011,21.514,21.265,20.098,9.56718,9.71113,-3.89739,,,,M1149clu,177.4360301,22.3194283
9,1.7432,1.6349,1.788,1.7119,1.6301,1.7733,7.96112,33.0,2,0.1,,99.0,1.11,12.3123,33.0,0.05,0.00212042,,1000000000.0,619.132,10,4092,,,,23.517,23.633,23.672,23.547,23.238,23.306,23.682,23.632,23.3,23.134,,,,24.164,23.606,23.54,23.628,23.711,23.489,23.298,23.337,23.48,23.465,23.43,23.451,23.749,24.038,23.428,8.70952,4.90726,-4.02199,,,,M1149clu,177.4350865,22.3195138
11,0.2406,0.1391,0.3275,0.2446,0.1426,0.5097,12.118,3.0,0,0.0,,99.0,4.45,12.7156,33.0,0.0,0.00173319,,1000000000.0,0.182103,7,3868,,,,28.473,26.742,25.875,,,,25.842,26.179,26.375,27.086,,,,30.621,29.687,28.166,26.71,26.145,25.869,25.712,25.665,25.639,25.551,26.364,26.61,27.051,27.442,28.227,9.32175,7.1724,-4.08964,,,,M1149clu,177.431865,22.3194223
12,0.30189,0.2686,0.3553,0.2806,0.1814,0.4058,4.87131,30.0,0,0.0,,99.0,3.33,5.09483,33.0,0.0,0.0782837,,1000000000.0,1.03824,7,3868,,,,26.316,25.661,25.655,,,,25.74,26.529,,28.261,,,,26.145,26.264,26.222,25.708,25.65,25.738,25.724,25.758,25.801,25.825,26.586,26.676,27.169,26.746,25.754,8.75046,6.72279,-2.31138,,,,M1149clu,177.4307513,22.3199196
13,0.30352,0.0,0.9035,1.1108,0.2259,3.3586,4.28722,33.0,3,0.2,,99.0,3.06,3.20812,33.0,0.2,0.201078,,1000000000.0,4.33871,10,4092,,,,29.694,28.687,28.461,28.452,28.18,28.299,28.263,,28.78,26.729,,,,29.221,29.047,29.13,28.954,28.645,28.366,28.222,28.196,28.258,28.091,28.038,28.301,28.693,28.771,27.942,8.84084,6.93799,-2.31229,,,,M1149clu,177.4342723,22.3192089
14,1.7755,0.4559,2.9303,1.7248,0.3058,2.9351,23.5931,33.0,1,0.15,,99.0,2.56,23.8205,33.0,0.1,6.7212e-06,,1000000000.0,7.84358,10,4092,,,,28.773,28.739,28.782,28.668,28.382,28.38,28.556,,24.799,24.983,,,,29.656,28.975,28.798,28.775,28.815,28.57,28.364,28.371,28.432,28.352,28.246,28.244,28.52,28.797,28.157,8.77441,7.42327,-1.63035,,,,M1149clu,177.4367485,22.319221
15,6.8585,3.9141,8.0,5.4935,2.7918,7.128,16.2108,10.0,0,0.0,,99.0,5.12,16.1922,10.0,0.0,0.000304728,,1000000000.0,283.92,9,4060,,,,22.827,,22.366,,20.703,19.898,19.605,29.225,24.051,24.231,,,,,,,33.802,30.393,29.462,29.276,29.18,29.082,27.029,24.428,23.924,23.442,23.087,23.918,8.94994,9.23799,-0.48583,,,,M1149clu,177.4365834,22.318864
16,4.9456,4.2998,5.6408,5.1523,4.1641,6.3667,2.26934,13.0,0,0.0,,99.0,4.55,2.17534,12.0,0.0,0.337001,,1000000000.0,73.6331,9,4088,,,,,31.602,30.248,29.687,29.768,29.831,29.677,27.37,25.865,25.04,,,,,,,33.699,30.581,29.95,29.777,29.731,29.596,28.048,25.809,25.396,24.925,24.652,25.573,9.06448,8.49137,-1.35809,,,,M1149clu,177.4353819,22.3191574
17,1.1324,0.909,1.2236,1.0315,0.8888,1.1617,2.61058,31.0,2,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,319.316,10,4092,,,,24.947,24.643,23.916,25.879,25.658,25.668,23.11,23.146,22.746,22.992,,,,25.208,24.987,24.926,24.626,23.919,23.518,23.203,23.171,23.3,23.057,22.945,23.202,23.538,23.768,22.905,8.94924,9.39729,-0.15161,,,,M1149clu,177.4300686,22.3189701
19,0.43259,0.4159,0.4498,0.4694,0.4303,0.5023,6.37371,20.0,0,0.1,,99.0,0.13,10.431,26.0,0.5,0.00543178,,1000000000.0,484.252,9,4028,,,,21.826,20.685,19.892,30.405,,31.78,18.717,18.553,18.835,18.978,,,,22.671,22.456,21.868,20.7,19.867,19.457,19.18,18.99,18.842,18.597,18.974,19.015,19.501,19.435,18.122,9.11326,10.38606,0.26492,,,,M1149clu,177.4218971,22.3183728
21,4.5479,4.4865,4.7129,4.6081,4.4577,4.7796,17.401,22.0,0,0.0,,99.0,4.95,22.0054,22.0,0.0,1.66566e-05,,1000000000.0,2681.67,9,4060,,,,26.192,25.351,24.425,,18.412,19.26,19.346,23.401,21.649,21.725,,,,,,,25.678,24.26,24.25,24.248,24.255,24.186,23.292,22.094,21.866,21.608,21.469,22.638,9.02837,11.12089,1.29108,,,,M1149clu,177.4383549,22.3186809
23,0.0,0.0,0.0519,0.0564,0.0148,0.1436,8.34648,26.0,2,0.05,,99.0,0.69,13.1165,30.0,0.0,0.00141839,,1000000000.0,0.0278496,10,4092,,,,26.302,26.301,26.082,25.655,25.601,25.604,25.59,25.395,26.473,,,,,27.529,27.327,26.533,26.099,25.899,25.738,25.713,25.688,25.654,25.727,26.526,26.907,26.976,25.596,28.547,9.01673,5.62718,-4.24428,,,,M1149clu,177.433293,22.3185706
24,0.072754,0.0,0.1396,0.1167,0.03,0.2773,30.3723,33.0,0,0.0,,99.0,0.4,33.249,33.0,0.0,6.02668e-08,,1000000000.0,0.1054,10,4092,,,,26.401,26.425,26.373,26.455,26.637,26.746,27.28,27.196,,,,,,26.409,26.601,26.49,26.532,26.421,26.793,26.837,26.872,26.899,27.135,27.544,28.175,28.262,27.007,27.546,8.72057,4.61674,-4.38994,,,,M1149clu,177.4320311,22.3185442
25,7.7831,7.6503,8.0,7.7707,7.5335,7.9222,37.4632,9.0,0,0.0,,99.0,7.2,41.5223,9.0,0.0,9.62813e-10,,1000000000.0,6115.88,9,4060,,,,23.084,23.784,,,17.226,19.296,19.081,,22.121,22.211,,,,,,,,37.9,29.369,28.535,28.506,28.33,26.793,22.992,21.88,21.312,20.751,21.053,9.04024,11.10598,1.22424,,,,M1149clu,177.4386565,22.3179408
26,0.45873,0.418,0.4783,0.4369,0.3728,0.4695,2.79311,30.0,1,0.25,,99.0,0.08,6.75807,32.0,0.5,0.0340802,,1000000000.0,158.895,8,3900,,,,23.575,22.699,22.211,34.555,,,21.775,21.695,21.853,22.015,,,,23.947,23.802,23.578,22.709,22.206,21.919,21.866,21.786,21.737,21.625,22.032,22.117,22.57,22.493,21.306,8.95323,9.19999,-0.35165,,,,M1149clu,177.4248997,22.3183167
27,0.72565,0.6776,0.7629,0.7255,0.6823,0.7689,7.99347,22.0,0,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,782.291,10,4092,,,,23.942,22.476,21.202,20.494,20.223,20.078,19.926,19.443,19.461,19.97,,,,25.014,24.32,23.691,22.525,21.134,20.489,20.231,20.077,19.9,19.457,19.343,19.788,20.005,20.453,19.122,9.49984,10.68901,-2.14428,,,,M1149clu,177.4374967,22.3179015
29,4.9275,4.1421,6.5055,5.5134,4.4927,6.6776,3.70274,20.0,0,0.0,,99.0,6.6,3.5919,32.0,0.4,0.16597,,1000000000.0,356.094,7,4064,,,,,,,26.286,26.896,26.838,26.992,26.419,24.451,24.863,,,,,,,30.797,27.664,26.927,26.893,26.906,26.884,26.321,24.806,24.494,24.154,23.855,24.352,8.99149,9.88367,0.21292,,,,M1149clu,177.4372736,22.3189443
30,6.6576,1.4734,8.0,5.3836,2.5216,7.127,3.35193,26.0,0,0.25,,99.0,4.92,3.278,30.0,0.5,0.194174,,1000000000.0,753.07,9,4060,,,,28.336,28.686,30.205,,23.026,26.283,25.897,26.957,24.614,24.961,,,,,,,33.481,29.639,28.193,27.727,27.482,27.264,26.512,24.936,24.69,24.45,24.196,25.016,9.03439,9.23162,-0.88335,,,,M1149clu,177.4374864,22.3189366
