main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAT2017] MACS1149CLS 4457,177.417985,22.3798157,G,0.55,D,2017ApJ...835..254M
[DSS2020] MACSJ1149 22,177.431015,22.381664,AGN,2.367,E,2020ApJ...894...56D
[MAT2017] MACS1149CLS 4273,177.4157982,22.3820001,G,0.54,D,2017ApJ...835..254M
MACSg J114943.53+222140.5,177.431381,22.36125,GiC,0.54,C,2014ApJS..211...21E
[MAT2017] MACS1149CLS 4673,177.4138634,22.3760934,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3862,177.4120909,22.3844239,G,0.51,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4137,177.4190587,22.3839132,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4272,177.4153141,22.3810004,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4514,177.4102648,22.3789763,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3730,177.4228916,22.3864907,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3849,177.4114055,22.3848853,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3858,177.411615,22.3859916,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3389,177.408115,22.3881023,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3793,177.408282,22.3877076,G,0.62,D,2017ApJ...835..254M
[DSS2020] MACSJ1149 10,177.4242045,22.3862597,AGN,0.3,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4376,177.4199743,22.3804922,G,0.38,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4407,177.4108732,22.3806552,G,0.61,D,2017ApJ...835..254M
VLAHFF-J114940.15+222233.3,177.41725,22.375944444444443,rG,0.93,D,2017ApJ...840...29H
VLAHFF-J114938.62+222145.3,177.41092,22.36258,rG,2.59,E,2021ApJ...910..106J
MACSg J114943.99+222313.3,177.433289,22.38703,AGN,0.545,C,2014ApJS..211...21E
MACSg J114947.38+222108.4,177.447418,22.352329,G,0.54,C,2014ApJS..211...21E
MACSg J114940.59+222232.6,177.419128,22.37571,G,0.536,C,2014ApJS..211...21E
MACSg J114948.88+222226.8,177.453659,22.374109,G,0.408,C,2014ApJS..211...21E
[MAT2017] MACS1149CLS 3535,177.4150767,22.3884093,G,0.41,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3538,177.4138177,22.3869827,G,0.66,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3543,177.41494884688,22.38944027353,G,0.34,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3544,177.4141874,22.3884474,G,0.34,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3610,177.4229202,22.3898673,G,0.62,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3646,177.4174192,22.3893434,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3855,177.4147271,22.3835913,G,0.69,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3948,177.4153903,22.3863998,G,0.61,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4030,177.4214286,22.3853904,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4230,177.4210147,22.3831077,G,0.62,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4287,177.4182496,22.3822939,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4311,177.4101353,22.3856583,G,0.61,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4366,177.4182199,22.3774001,G,0.65,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4367,177.4188415,22.3779813,G,0.66,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4370,177.4196975,22.3810483,G,0.42,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4458,177.4183493,22.3796635,G,0.5,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4510,177.4132487,22.3790297,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4542,177.4098852,22.3785474,G,0.61,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4692,177.4124999,22.3759452,G,0.49,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4716,177.4094282,22.3754919,G,0.59,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4858,177.4104059,22.3730868,G,0.62,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4338,177.4143413,22.3818175,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3494,177.4214972,22.3908222,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3732,177.4228987,22.3867969,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4074,177.4098718,22.3847327,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 5011,177.4116385,22.369242,G,0.52,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3596,177.4109147,22.3899947,G,0.6,D,2017ApJ...835..254M
MACSg J114939.16+222042.4,177.413162,22.34511,G,0.324,C,2014ApJS..211...21E
MACSg J114939.36+222059.2,177.414001,22.349779,G,0.539,C,2014ApJS..211...21E
MACSg J114941.52+222202.5,177.423004,22.367359,G,0.177,C,2014ApJS..211...21E
MACSg J114942.70+222209.0,177.427917,22.369169,G,0.536,C,2014ApJS..211...21E
MACSg J114943.53+222038.4,177.431366,22.344,G,0.536,C,2014ApJS..211...21E
MACSg J114943.76+222141.5,177.432327,22.36153,G,0.538,C,2014ApJS..211...21E
MACSg J114949.07+222203.4,177.454453,22.367611,G,0.542,C,2014ApJS..211...21E
CANUCS-5209629,177.424176,22.335956,G,8.13,E,2024ApJ...966...74W
CANUCS-5209975,177.419641,22.340956,G,7.69,E,2024ApJ...966...74W
MACSg J114940.23+222300.1,177.417618,22.38335,G,0.548,C,2014ApJS..211...21E
[MAT2017] MACS1149CLS 3861,177.4099242,22.3863314,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4715,177.4097051,22.3755434,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4388,177.422383,22.381211,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4543,177.4147,22.3785302,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4563,177.4111653,22.3784191,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4138,177.419564,22.3839426,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3921,177.4186763,22.3864447,G,0.55,D,2017ApJ...835..254M
MACSg J114942.98+222124.7,177.429077,22.356859,GiC,0.538,C,2014ApJS..211...21E
MACSg J114947.15+222235.2,177.446457,22.37644,GiC,0.543,C,2014ApJS..211...21E
[GKS2016] c271,177.4125175,22.3825253,EmG,0.53,D,2017ApJ...835..254M
[GKS2016] c281,177.4143037,22.3902801,G,0.55,D,2017ApJ...835..254M
DES J114940.97+222324.3,177.42077916666668,22.390094444444443,GiC,0.529,C,2014ApJS..211...21E
[BIO2017] M1149I-9399123122,177.416321,22.386751,LeG,5.81,E,2018ApJ...854...73I
[BIO2017] M1149I-9416823226,177.42368749999997,22.389616666666665,LeG,5.82,E,2017ApJ...843...41B
[DRJ2018] MACS1149 18.1,177.409606,22.386668,LeI,6.27,E,2018ApJ...854...73I
[MAC2016] M1149cl    592,177.4135,22.384199999999996,G,1.703,E,2021MNRAS.501.1028Y
[BIO2017] M1149I-9408123192,177.420086,22.388672,LeG,5.583,D,2024ApJ...971...43M
CLASHVLT J114940.87+222307.5,177.420299,22.385418,rG,0.9286,E,2016ApJ...817...60T
CLASHVLT J114938.03+222312.3,177.408457,22.38674,G,1.2451,E,2016ApJ...817...60T
CLASHVLT J114938.02+222312.0,177.408409,22.386686,G,1.2524,E,2016ApJ...817...60T
CLASHVLT J114938.07+222312.8,177.408627,22.386887,G,1.2504,D,2016ApJ...817...60T
CLASHVLT J114940.13+222314.7,177.417203,22.387423,G,1.3708,E,2016ApJ...817...60T
CLASHVLT J114938.43+222321.8,177.41017,22.3894,G,0.55,D,2017ApJ...835..254M
[LBL2018] MACS1149 cluster 23,177.4156005,22.388463,G?,5.349,E,2018ApJ...862..156L
MACSg J114950.43+222158.6,177.46026636161,22.36627086217,G,1.237,C,2014ApJS..211...21E
MACSg J114940.68+222243.6,177.419495,22.37878,G,0.529,C,2014ApJS..211...21E
MACSg J114942.82+222321.9,177.428421,22.38942,G,0.546,C,2014ApJS..211...21E
DES J114933.50+222333.6,177.3896125,22.39268055555555,GiC,0.544,C,2014ApJS..211...21E
[MAT2017] MACS1149CLS 3145,177.3853912,22.3942137,G,0.54,D,2017ApJ...835..254M
[DSS2020] MACSJ1149  1,177.367279,22.397551,AGN,0.454,E,2020ApJ...894...56D
[MAT2017] MACS1149CLS 2893,177.3799079,22.3966873,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3318,177.4032757,22.3915896,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3652,177.3854371,22.3915373,G,0.53,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2757,177.3865711,22.398054,G,0.59,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2800,177.3876788,22.3975063,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3122,177.4020399,22.3942601,G,0.59,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3288,177.3940988,22.3930221,G,0.66,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3641,177.3886981,22.3920544,G,0.38,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2211,177.4022176,22.3904133,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3050,177.3991583,22.3948996,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3102,177.400436,22.394358,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3121,177.402068,22.3945004,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2209,177.3880183,22.3926796,G,0.53,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2240,177.3974172,22.3921409,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2847,177.3862255,22.397121,G,0.52,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3167,177.3803644,22.3941248,G,0.53,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3319,177.4038405,22.3926437,G,0.57,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3314,177.4029014,22.3924871,G,0.56,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3004,177.3866886,22.3954713,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3053,177.4047056,22.3948096,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3025,177.384747,22.3953206,G,0.61,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2804,177.391337,22.3974878,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2820,177.4028247,22.3966385,G,0.68,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3082,177.3741069,22.3947746,G,0.63,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3241,177.3748762,22.3934027,G,0.6,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3381,177.3783701,22.3913965,G,0.63,D,2017ApJ...835..254M
[GKS2016] 109c,177.39958333333334,22.397258333333333,G,1.489,D,2016ApJ...822...78G
[MAT2017] MACS1149CLS 2773,177.3845828,22.397898,G,0.58,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2815,177.4044499,22.396946,G,0.65,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3414,177.394875,22.3914907,G,0.43,D,2017ApJ...835..254M
MACSg J114920.49+222228.3,177.335373,22.374531,G,0.533,C,2014ApJS..211...21E
MACSg J114922.56+222319.1,177.344009,22.388651,G,0.532,C,2014ApJS..211...21E
MACSg J114926.06+222308.5,177.358582,22.385691,G,0.534,C,2014ApJS..211...21E
MACSg J114926.56+222059.9,177.360672,22.34997,G,0.734,C,2014ApJS..211...21E
MACSg J114927.49+222218.0,177.364548,22.371679,G,0.549,C,2014ApJS..211...21E
MACSg J114929.55+222223.3,177.373123,22.37315,G,0.438,C,2014ApJS..211...21E
CANUCS-5104911,177.359468,22.375532,G,8.61,E,2024ApJ...966...74W
[MAT2017] MACS1149CLS 2769,177.3954015,22.3978876,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3199,177.3722462,22.3936577,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2204,177.3961156,22.3917938,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2802,177.3870476,22.3973613,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3628,177.4044678,22.3895621,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3892,177.4035004,22.385954,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 2791,177.3903802,22.3971975,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 3470,177.4025963,22.3910847,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4620,177.3863466,22.3767168,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4085,177.3791502,22.3847373,G,0.55,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4413,177.395895,22.3813735,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4430,177.4024824,22.3800017,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4158,177.4012422,22.3836358,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4578,177.3929725,22.3777279,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4675,177.3995777,22.3761456,G,0.54,D,2017ApJ...835..254M
[MAT2017] MACS1149CLS 4875,177.4035939,22.3725935,G,0.55,D,2017ApJ...835..254M
MACSg J114925.03+222346.8,177.354309,22.39633,GiC,0.543,C,2014ApJS..211...21E
MACSg J114927.44+222303.2,177.364334,22.38422,GiC,0.549,C,2014ApJS..211...21E
